Pedido_ID,Linea_ID,Fecha,Hora inicio preparación,Hora fin preparación,Plato,Cantidad_platos,Insumo,Cantidad_insumo,Unidad,Lote_ID,Ubicación_origen,Responsable (cocinero/chef),Tiempo_total,Estado del pedido,Desperdicio registrado,Observaciones del pedido
20190103-1,3,2019-01-03,16:10,17:58,Lomo Saltado,38,Cebolla roja,1.52,kg,L875-0001,C1,Chef,6,Completado,0.11846629175013446,
20190103-2,1,2019-01-03,15:21,20:47,Pollo a la Brasa,45,Pollo entero,18.0,kg,L162-0001,A2,Chef,6,Completado,0.8827749474826638,
20190103-2,2,2019-01-03,15:21,20:47,Pollo a la Brasa,45,Papa blanca,9.0,kg,L336-0001,B2,Chef,6,Completado,0.6344273394399881,
20190103-2,3,2019-01-03,15:21,20:47,Pollo a la Brasa,45,Ensalada,4.5,kg,L281-0001,C2,Chef,6,Completado,0.36786945783353814,
20190103-3,1,2019-01-03,12:19,20:35,Ceviche Clásico,29,Pescado blanco,5.8,kg,L189-0001,D1,Chef,8,Completado,0.4794800372884302,
20190103-3,2,2019-01-03,12:19,20:35,Ceviche Clásico,29,Limón,1.45,ml,L173-0001,D2,Chef,8,Completado,0.12842659101415524,
20190103-3,3,2019-01-03,12:19,20:35,Ceviche Clásico,29,Cebolla roja,1.16,kg,L875-0001,C1,Chef,8,Completado,0.07066715271550436,
20190103-4,1,2019-01-03,16:51,18:32,Arroz Chaufa,19,Arroz,4.75,kg,L441-0001,E1,Chef,13,Completado,0.3002195736956532,
20190103-4,2,2019-01-03,16:51,18:32,Arroz Chaufa,19,Huevo,0.95,kg,L212-0001,C4,Chef,13,Completado,0.09139360935799387,
20190103-4,3,2019-01-03,16:51,18:32,Arroz Chaufa,19,Pollo desmenuzado,1.14,kg,L701-0001,A3,Chef,13,Completado,0.055006432579585936,
20190103-5,1,2019-01-03,18:24,11:22,Tallarines Verdes,20,Fideos,4.0,kg,L174-0001,E2,Chef,15,Completado,0.22190599065163735,
20190103-5,2,2019-01-03,18:24,11:22,Tallarines Verdes,20,Espinaca,1.2,kg,L746-0001,C5,Chef,15,Completado,0.09551885131446088,
20190103-5,3,2019-01-03,18:24,11:22,Tallarines Verdes,20,Queso fresco,0.6,kg,L298-0001,C6,Chef,15,Completado,0.05341999920724377,
20190104-1,1,2019-01-04,12:47,18:34,Lomo Saltado,43,Carne de res,7.74,kg,L595-0001,A1,Chef,14,Completado,0.31195059953818394,
20190104-1,2,2019-01-04,12:47,18:34,Lomo Saltado,43,Papa amarilla,6.45,kg,L057-0001,B1,Chef,14,Completado,0.320232715898572,
20190104-1,3,2019-01-04,12:47,18:34,Lomo Saltado,43,Cebolla roja,1.72,kg,L875-0001,C1,Chef,14,Completado,0.12542932706263168,
20190104-2,1,2019-01-04,15:34,18:35,Pollo a la Brasa,41,Pollo entero,16.4,kg,L162-0001,A2,Chef,6,Completado,0.6737861577976725,
20190104-2,2,2019-01-04,15:34,18:35,Pollo a la Brasa,41,Papa blanca,8.2,kg,L336-0001,B2,Chef,6,Completado,0.5709957078702498,
20190104-2,3,2019-01-04,15:34,18:35,Pollo a la Brasa,41,Ensalada,4.1,kg,L281-0001,C2,Chef,6,Completado,0.20799038646844686,
20190104-3,1,2019-01-04,17:07,16:02,Ceviche Clásico,26,Pescado blanco,5.2,kg,L189-0001,D1,Chef,6,Completado,0.30411496705794544,
20190104-3,2,2019-01-04,17:07,16:02,Ceviche Clásico,26,Limón,1.3,ml,L173-0001,D2,Chef,6,Completado,0.09431813798328216,
20190104-3,3,2019-01-04,17:07,16:02,Ceviche Clásico,26,Cebolla roja,1.04,kg,L875-0001,C1,Chef,6,Completado,0.07334999839473863,
20190104-4,1,2019-01-04,15:54,15:45,Arroz Chaufa,30,Arroz,7.5,kg,L441-0001,E1,Chef,11,Completado,0.7405017862237542,
20190104-4,2,2019-01-04,15:54,15:45,Arroz Chaufa,30,Huevo,1.5,kg,L212-0001,C4,Chef,11,Completado,0.10380679376635096,
20190104-4,3,2019-01-04,15:54,15:45,Arroz Chaufa,30,Pollo desmenuzado,1.8,kg,L701-0001,A3,Chef,11,Completado,0.16985866907360384,
20190104-5,1,2019-01-04,20:33,14:29,Tallarines Verdes,19,Fideos,3.8,kg,L174-0001,E2,Chef,6,Completado,0.28353408569480987,
20190104-5,2,2019-01-04,20:33,14:29,Tallarines Verdes,19,Espinaca,1.14,kg,L746-0001,C5,Chef,6,Completado,0.07928821025721029,
20190104-5,3,2019-01-04,20:33,14:29,Tallarines Verdes,19,Queso fresco,0.57,kg,L298-0001,C6,Chef,6,Completado,0.02947731018269312,
20190105-1,1,2019-01-05,15:57,12:39,Lomo Saltado,65,Carne de res,11.7,kg,L595-0001,A1,Chef,13,Completado,0.6146609397659828,
20190105-1,2,2019-01-05,15:57,12:39,Lomo Saltado,65,Papa amarilla,9.75,kg,L057-0001,B1,Chef,13,Completado,0.7826189573420697,
20190105-1,3,2019-01-05,15:57,12:39,Lomo Saltado,65,Cebolla roja,2.6,kg,L875-0001,C1,Chef,13,Completado,0.1599488978822016,
20190105-2,1,2019-01-05,20:41,11:25,Pollo a la Brasa,46,Pollo entero,18.4,kg,L162-0001,A2,Chef,6,Completado,1.6729314535968405,
20190105-2,2,2019-01-05,20:41,11:25,Pollo a la Brasa,46,Papa blanca,9.2,kg,L336-0001,B2,Chef,6,Completado,0.5316735992935847,
20190105-2,3,2019-01-05,20:41,11:25,Pollo a la Brasa,46,Ensalada,4.6,kg,L281-0001,C2,Chef,6,Completado,0.29985951637917235,
20190105-3,1,2019-01-05,11:24,17:12,Ceviche Clásico,42,Pescado blanco,8.4,kg,L189-0001,D1,Chef,17,Completado,0.5937165690259126,
20190105-3,2,2019-01-05,11:24,17:12,Ceviche Clásico,42,Limón,2.1,ml,L173-0001,D2,Chef,17,Completado,0.14719105313058717,
20190105-3,3,2019-01-05,11:24,17:12,Ceviche Clásico,42,Cebolla roja,1.68,kg,L875-0001,C1,Chef,17,Completado,0.14766815403985092,
20190105-4,1,2019-01-05,10:07,12:22,Arroz Chaufa,28,Arroz,7.0,kg,L441-0001,E1,Chef,17,Completado,0.5231232561131747,
20190105-4,2,2019-01-05,10:07,12:22,Arroz Chaufa,28,Huevo,1.4,kg,L212-0001,C4,Chef,17,Completado,0.09283182633351932,
20190105-4,3,2019-01-05,10:07,12:22,Arroz Chaufa,28,Pollo desmenuzado,1.68,kg,L701-0001,A3,Chef,17,Completado,0.1349402344377561,
20190105-5,1,2019-01-05,12:24,19:21,Tallarines Verdes,19,Fideos,3.8,kg,L174-0001,E2,Chef,15,Completado,0.348172252975062,
20190105-5,2,2019-01-05,12:24,19:21,Tallarines Verdes,19,Espinaca,1.14,kg,L746-0001,C5,Chef,15,Completado,0.0627171930592851,
20190105-5,3,2019-01-05,12:24,19:21,Tallarines Verdes,19,Queso fresco,0.57,kg,L298-0001,C6,Chef,15,Completado,0.02412814791748627,
20190106-1,1,2019-01-06,12:16,17:18,Lomo Saltado,48,Carne de res,8.64,kg,L595-0001,A1,Chef,17,Completado,0.7313117061307415,
20190106-1,2,2019-01-06,12:16,17:18,Lomo Saltado,48,Papa amarilla,7.2,kg,L057-0001,B1,Chef,17,Completado,0.39637174781375767,
20190106-1,3,2019-01-06,12:16,17:18,Lomo Saltado,48,Cebolla roja,1.92,kg,L875-0001,C1,Chef,17,Completado,0.09803523928297384,
20190106-2,1,2019-01-06,16:08,14:00,Pollo a la Brasa,32,Pollo entero,12.8,kg,L162-0001,A2,Chef,15,Completado,1.214884142817137,
20190106-2,2,2019-01-06,16:08,14:00,Pollo a la Brasa,32,Papa blanca,6.4,kg,L336-0001,B2,Chef,15,Completado,0.42586325621674415,
20190106-2,3,2019-01-06,16:08,14:00,Pollo a la Brasa,32,Ensalada,3.2,kg,L281-0001,C2,Chef,15,Completado,0.17403917295822144,
20190106-3,1,2019-01-06,15:47,18:39,Ceviche Clásico,22,Pescado blanco,4.4,kg,L189-0001,D1,Chef,10,Completado,0.34450343677464457,
20190106-3,2,2019-01-06,15:47,18:39,Ceviche Clásico,22,Limón,1.1,ml,L173-0001,D2,Chef,10,Completado,0.0781019529901534,
20190106-3,3,2019-01-06,15:47,18:39,Ceviche Clásico,22,Cebolla roja,0.88,kg,L875-0001,C1,Chef,10,Completado,0.06989547814480881,
20190106-4,1,2019-01-06,14:21,16:02,Arroz Chaufa,29,Arroz,7.25,kg,L441-0001,E1,Chef,17,Completado,0.5362261865649232,
20190106-4,2,2019-01-06,14:21,16:02,Arroz Chaufa,29,Huevo,1.45,kg,L212-0001,C4,Chef,17,Completado,0.07180224094489672,
20190106-4,3,2019-01-06,14:21,16:02,Arroz Chaufa,29,Pollo desmenuzado,1.74,kg,L701-0001,A3,Chef,17,Completado,0.08214518923090904,
20190106-5,1,2019-01-06,14:46,10:29,Tallarines Verdes,11,Fideos,2.2,kg,L174-0001,E2,Chef,9,Completado,0.11114359562539271,
20190106-5,2,2019-01-06,14:46,10:29,Tallarines Verdes,11,Espinaca,0.66,kg,L746-0001,C5,Chef,9,Completado,0.02707957963253731,
20190106-5,3,2019-01-06,14:46,10:29,Tallarines Verdes,11,Queso fresco,0.33,kg,L298-0001,C6,Chef,9,Completado,0.028314615575477438,
20190107-1,1,2019-01-07,16:01,10:27,Lomo Saltado,45,Carne de res,8.1,kg,L595-0001,A1,Chef,16,Completado,0.7132613572156462,
20190107-1,2,2019-01-07,16:01,10:27,Lomo Saltado,45,Papa amarilla,6.75,kg,L057-0001,B1,Chef,16,Completado,0.5985376915780811,
20190107-1,3,2019-01-07,16:01,10:27,Lomo Saltado,45,Cebolla roja,1.8,kg,L875-0001,C1,Chef,16,Completado,0.1606290633803472,
20190107-2,1,2019-01-07,12:00,10:39,Pollo a la Brasa,55,Pollo entero,22.0,kg,L162-0002,A2,Chef,15,Completado,1.152823355037304,
20190107-2,2,2019-01-07,12:00,10:39,Pollo a la Brasa,55,Papa blanca,11.0,kg,L336-0001,B2,Chef,15,Completado,0.6208143440319482,
20190107-2,3,2019-01-07,12:00,10:39,Pollo a la Brasa,55,Ensalada,5.5,kg,L281-0001,C2,Chef,15,Completado,0.29081440950376347,
20190107-3,1,2019-01-07,11:50,11:34,Ceviche Clásico,35,Pescado blanco,7.0,kg,L189-0001,D1,Chef,12,Completado,0.3098992323532962,
20190107-3,2,2019-01-07,11:50,11:34,Ceviche Clásico,35,Limón,1.75,ml,L173-0001,D2,Chef,12,Completado,0.10349244118084494,
20190107-3,3,2019-01-07,11:50,11:34,Ceviche Clásico,35,Cebolla roja,1.4,kg,L875-0001,C1,Chef,12,Completado,0.12696952612143417,
20190107-4,1,2019-01-07,19:33,12:40,Arroz Chaufa,28,Arroz,7.0,kg,L441-0001,E1,Chef,12,Completado,0.32962922760109564,
20190107-4,2,2019-01-07,19:33,12:40,Arroz Chaufa,28,Huevo,1.4,kg,L212-0001,C4,Chef,12,Completado,0.11452592189058866,
20190107-4,3,2019-01-07,19:33,12:40,Arroz Chaufa,28,Pollo desmenuzado,1.68,kg,L701-0001,A3,Chef,12,Completado,0.13059743895541231,
20190107-5,1,2019-01-07,17:35,18:20,Tallarines Verdes,21,Fideos,4.2,kg,L174-0001,E2,Chef,14,Completado,0.30608891457851806,
20190107-5,2,2019-01-07,17:35,18:20,Tallarines Verdes,21,Espinaca,1.26,kg,L746-0001,C5,Chef,14,Completado,0.08241440323849376,
20190107-5,3,2019-01-07,17:35,18:20,Tallarines Verdes,21,Queso fresco,0.63,kg,L298-0001,C6,Chef,14,Completado,0.04669006672574843,
20190108-1,1,2019-01-08,20:18,10:35,Lomo Saltado,70,Carne de res,12.6,kg,L595-0001,A1,Chef,17,Completado,1.228657371643698,
20190108-1,2,2019-01-08,20:18,10:35,Lomo Saltado,70,Papa amarilla,10.5,kg,L057-0001,B1,Chef,17,Completado,0.9537001807802217,
20190108-1,3,2019-01-08,20:18,10:35,Lomo Saltado,70,Cebolla roja,2.8,kg,L875-0001,C1,Chef,17,Completado,0.17162407199773705,
20190108-2,1,2019-01-08,13:18,19:46,Pollo a la Brasa,58,Pollo entero,23.2,kg,L162-0002,A2,Chef,10,Completado,1.0556521729838058,
20190108-2,2,2019-01-08,13:18,19:46,Pollo a la Brasa,58,Papa blanca,11.6,kg,L336-0001,B2,Chef,10,Completado,0.8832988844271789,
20190108-2,3,2019-01-08,13:18,19:46,Pollo a la Brasa,58,Ensalada,5.8,kg,L281-0001,C2,Chef,10,Completado,0.5038910255639785,
20190108-3,1,2019-01-08,16:44,14:41,Ceviche Clásico,48,Pescado blanco,9.6,kg,L189-0001,D1,Chef,15,Completado,0.41715384576958714,
20190108-3,2,2019-01-08,16:44,14:41,Ceviche Clásico,48,Limón,2.4,ml,L173-0001,D2,Chef,15,Completado,0.14653176180749933,
20190108-3,3,2019-01-08,16:44,14:41,Ceviche Clásico,48,Cebolla roja,1.92,kg,L875-0001,C1,Chef,15,Completado,0.09028612029246019,
20190108-4,1,2019-01-08,18:09,19:43,Arroz Chaufa,25,Arroz,6.25,kg,L441-0001,E1,Chef,6,Completado,0.2879210035460464,
20190108-4,2,2019-01-08,18:09,19:43,Arroz Chaufa,25,Huevo,1.25,kg,L212-0001,C4,Chef,6,Completado,0.05630801045862481,
20190108-4,3,2019-01-08,18:09,19:43,Arroz Chaufa,25,Pollo desmenuzado,1.5,kg,L701-0001,A3,Chef,6,Completado,0.1230872218313208,
20190108-5,1,2019-01-08,19:08,11:26,Tallarines Verdes,16,Fideos,3.2,kg,L174-0001,E2,Chef,15,Completado,0.15614812576486892,
20190108-5,2,2019-01-08,19:08,11:26,Tallarines Verdes,16,Espinaca,0.96,kg,L746-0001,C5,Chef,15,Completado,0.06796758731668183,
20190108-5,3,2019-01-08,19:08,11:26,Tallarines Verdes,16,Queso fresco,0.48,kg,L298-0001,C6,Chef,15,Completado,0.025916968485826402,
20190109-1,1,2019-01-09,12:12,18:59,Lomo Saltado,75,Carne de res,13.5,kg,L595-0001,A1,Chef,6,Completado,0.6071419705716169,
20190109-1,2,2019-01-09,12:12,18:59,Lomo Saltado,75,Papa amarilla,11.25,kg,L057-0001,B1,Chef,6,Completado,0.8066498318756162,
20190109-1,3,2019-01-09,12:12,18:59,Lomo Saltado,75,Cebolla roja,3.0,kg,L875-0001,C1,Chef,6,Completado,0.22008090695566523,
20190109-2,1,2019-01-09,14:15,15:20,Pollo a la Brasa,64,Pollo entero,25.6,kg,L162-0002,A2,Chef,16,Completado,2.4357617386680213,
20190109-2,2,2019-01-09,14:15,15:20,Pollo a la Brasa,64,Papa blanca,12.8,kg,L336-0001,B2,Chef,16,Completado,0.6396534517063063,
20190109-2,3,2019-01-09,14:15,15:20,Pollo a la Brasa,64,Ensalada,6.4,kg,L281-0001,C2,Chef,16,Completado,0.3392546969292127,
20190109-3,1,2019-01-09,10:52,15:53,Ceviche Clásico,44,Pescado blanco,8.8,kg,L189-0001,D1,Chef,8,Completado,0.8278114295392422,
20190109-3,2,2019-01-09,10:52,15:53,Ceviche Clásico,44,Limón,2.2,ml,L173-0001,D2,Chef,8,Completado,0.09399892220507246,
20190109-3,3,2019-01-09,10:52,15:53,Ceviche Clásico,44,Cebolla roja,1.76,kg,L875-0001,C1,Chef,8,Completado,0.10006971282093952,
20190109-4,1,2019-01-09,17:37,17:27,Arroz Chaufa,35,Arroz,8.75,kg,L441-0001,E1,Chef,10,Completado,0.4956251210650947,
20190109-4,2,2019-01-09,17:37,17:27,Arroz Chaufa,35,Huevo,1.75,kg,L212-0001,C4,Chef,10,Completado,0.13128389174434157,
20190109-4,3,2019-01-09,17:37,17:27,Arroz Chaufa,35,Pollo desmenuzado,2.1,kg,L701-0001,A3,Chef,10,Completado,0.0937945642575881,
20190109-5,1,2019-01-09,18:35,20:53,Tallarines Verdes,17,Fideos,3.4,kg,L174-0001,E2,Chef,6,Completado,0.19307175546246494,
20190109-5,2,2019-01-09,18:35,20:53,Tallarines Verdes,17,Espinaca,1.02,kg,L746-0001,C5,Chef,6,Completado,0.0659658513173778,
20190109-5,3,2019-01-09,18:35,20:53,Tallarines Verdes,17,Queso fresco,0.51,kg,L298-0001,C6,Chef,6,Completado,0.03884512558991293,
20190110-1,1,2019-01-10,18:21,20:26,Lomo Saltado,59,Carne de res,10.62,kg,L595-0002,A1,Chef,6,Completado,0.958983050641937,
20190110-1,2,2019-01-10,18:21,20:26,Lomo Saltado,59,Papa amarilla,8.85,kg,L057-0001,B1,Chef,6,Completado,0.6028760678511292,
20190110-1,3,2019-01-10,18:21,20:26,Lomo Saltado,59,Cebolla roja,2.36,kg,L875-0001,C1,Chef,6,Completado,0.1531384415310134,
20190110-2,1,2019-01-10,10:20,16:05,Pollo a la Brasa,78,Pollo entero,31.2,kg,L162-0003,A2,Chef,17,Completado,2.769750689091505,
20190110-2,2,2019-01-10,10:20,16:05,Pollo a la Brasa,78,Papa blanca,15.6,kg,L336-0001,B2,Chef,17,Completado,1.5597357421958182,
20190110-2,3,2019-01-10,10:20,16:05,Pollo a la Brasa,78,Ensalada,7.8,kg,L281-0001,C2,Chef,17,Completado,0.7784260397505878,
20190110-3,1,2019-01-10,19:18,10:20,Ceviche Clásico,55,Pescado blanco,11.0,kg,L189-0001,D1,Chef,14,Completado,0.5252452139999867,
20190110-3,2,2019-01-10,19:18,10:20,Ceviche Clásico,55,Limón,2.75,ml,L173-0001,D2,Chef,14,Completado,0.2674184194976892,
20190110-3,3,2019-01-10,19:18,10:20,Ceviche Clásico,55,Cebolla roja,2.2,kg,L875-0001,C1,Chef,14,Completado,0.16801505174751616,
20190110-4,1,2019-01-10,10:48,17:31,Arroz Chaufa,34,Arroz,8.5,kg,L441-0001,E1,Chef,7,Completado,0.5226629861967487,
20190110-4,2,2019-01-10,10:48,17:31,Arroz Chaufa,34,Huevo,1.7,kg,L212-0001,C4,Chef,7,Completado,0.07958287440436217,
20190110-4,3,2019-01-10,10:48,17:31,Arroz Chaufa,34,Pollo desmenuzado,2.04,kg,L701-0001,A3,Chef,7,Completado,0.1638005591405587,
20190110-5,1,2019-01-10,11:53,15:02,Tallarines Verdes,14,Fideos,2.8,kg,L174-0001,E2,Chef,16,Completado,0.16370657628153631,
20190110-5,2,2019-01-10,11:53,15:02,Tallarines Verdes,14,Espinaca,0.84,kg,L746-0001,C5,Chef,16,Completado,0.07474584105473835,
20190110-5,3,2019-01-10,11:53,15:02,Tallarines Verdes,14,Queso fresco,0.42,kg,L298-0001,C6,Chef,16,Completado,0.041192938889083534,
20190111-1,1,2019-01-11,18:22,16:15,Lomo Saltado,53,Carne de res,9.54,kg,L595-0002,A1,Chef,16,Completado,0.4610646736245223,
20190111-1,2,2019-01-11,18:22,16:15,Lomo Saltado,53,Papa amarilla,7.95,kg,L057-0001,B1,Chef,16,Completado,0.6236972532711335,
20190111-1,3,2019-01-11,18:22,16:15,Lomo Saltado,53,Cebolla roja,2.12,kg,L875-0001,C1,Chef,16,Completado,0.10793514673557124,
20190111-2,1,2019-01-11,17:24,12:31,Pollo a la Brasa,38,Pollo entero,15.2,kg,L162-0003,A2,Chef,8,Completado,1.0778952820361603,
20190111-2,2,2019-01-11,17:24,12:31,Pollo a la Brasa,38,Papa blanca,7.6,kg,L336-0002,B2,Chef,8,Completado,0.7477383192671675,
20190111-2,3,2019-01-11,17:24,12:31,Pollo a la Brasa,38,Ensalada,3.8,kg,L281-0001,C2,Chef,8,Completado,0.28924127018333895,
20190111-3,1,2019-01-11,12:18,14:04,Ceviche Clásico,28,Pescado blanco,5.6,kg,L189-0001,D1,Chef,7,Completado,0.3176063539147381,
20190111-3,2,2019-01-11,12:18,14:04,Ceviche Clásico,28,Limón,1.4,ml,L173-0001,D2,Chef,7,Completado,0.07086888067924674,
20190111-3,3,2019-01-11,12:18,14:04,Ceviche Clásico,28,Cebolla roja,1.12,kg,L875-0001,C1,Chef,7,Completado,0.05076081026847414,
20190111-4,1,2019-01-11,10:04,18:11,Arroz Chaufa,36,Arroz,9.0,kg,L441-0001,E1,Chef,15,Completado,0.8428773219637999,
20190111-4,2,2019-01-11,10:04,18:11,Arroz Chaufa,36,Huevo,1.8,kg,L212-0001,C4,Chef,15,Completado,0.08590482701636154,
20190111-4,3,2019-01-11,10:04,18:11,Arroz Chaufa,36,Pollo desmenuzado,2.16,kg,L701-0001,A3,Chef,15,Completado,0.12918089692499615,
20190111-5,1,2019-01-11,20:08,19:56,Tallarines Verdes,16,Fideos,3.2,kg,L174-0001,E2,Chef,14,Completado,0.260054665682448,
20190111-5,2,2019-01-11,20:08,19:56,Tallarines Verdes,16,Espinaca,0.96,kg,L746-0001,C5,Chef,14,Completado,0.06787144398032224,
20190111-5,3,2019-01-11,20:08,19:56,Tallarines Verdes,16,Queso fresco,0.48,kg,L298-0001,C6,Chef,14,Completado,0.023720957262226377,
20190112-1,1,2019-01-12,12:46,16:45,Lomo Saltado,58,Carne de res,10.44,kg,L595-0002,A1,Chef,16,Completado,0.7509158871701938,
20190112-1,2,2019-01-12,12:46,16:45,Lomo Saltado,58,Papa amarilla,8.7,kg,L057-0001,B1,Chef,16,Completado,0.4039437899193631,
20190112-1,3,2019-01-12,12:46,16:45,Lomo Saltado,58,Cebolla roja,2.32,kg,L875-0001,C1,Chef,16,Completado,0.15507980146182487,
20190112-2,1,2019-01-12,14:27,19:38,Pollo a la Brasa,53,Pollo entero,21.2,kg,L162-0003,A2,Chef,14,Completado,1.9173831020367285,
20190112-2,2,2019-01-12,14:27,19:38,Pollo a la Brasa,53,Papa blanca,10.6,kg,L336-0002,B2,Chef,14,Completado,0.6421014856809736,
20190112-2,3,2019-01-12,14:27,19:38,Pollo a la Brasa,53,Ensalada,5.3,kg,L281-0001,C2,Chef,14,Completado,0.3627224413749169,
20190112-3,1,2019-01-12,19:02,18:44,Ceviche Clásico,43,Pescado blanco,8.6,kg,L189-0001,D1,Chef,7,Completado,0.38885086865311064,
20190112-3,2,2019-01-12,19:02,18:44,Ceviche Clásico,43,Limón,2.15,ml,L173-0001,D2,Chef,7,Completado,0.15528674389459265,
20190112-3,3,2019-01-12,19:02,18:44,Ceviche Clásico,43,Cebolla roja,1.72,kg,L875-0001,C1,Chef,7,Completado,0.12936200337975473,
20190112-4,1,2019-01-12,17:39,10:43,Arroz Chaufa,28,Arroz,7.0,kg,L441-0001,E1,Chef,8,Completado,0.4390845028995416,
20190112-4,2,2019-01-12,17:39,10:43,Arroz Chaufa,28,Huevo,1.4,kg,L212-0001,C4,Chef,8,Completado,0.08434553404524113,
