fecha,día_semana,mes,estación,evento,feriado,clima,temperatura (°C)
2019-02-25,Domingo,Febrero,Verano,Ninguno,0,Soleado,26.83486459953852
2019-02-26,Lunes,Febrero,Verano,Ninguno,0,Soleado,26.45023930387821
2019-02-27,Martes,Febrero,Verano,Ninguno,0,Soleado,29.61179675298225
2019-02-28,Miércoles,Febrero,Verano,Ninguno,0,Nublado,26.80635889516801
2019-02-28,Jueves,Febrero,Verano,Ninguno,0,Soleado,28.50522387551682
2019-03-01,Viernes,Marzo,Verano,Ninguno,0,Nublado,29.48160187538868
2019-03-02,Sábado,Marzo,Verano,Ninguno,0,Soleado,28.23078137787015
2019-03-03,Domingo,Marzo,Verano,Ninguno,0,Soleado,27.50756044573938
2019-03-04,Lunes,Marzo,Verano,Ninguno,0,Soleado,29.15141296559444
2019-03-05,Martes,Marzo,Verano,Ninguno,0,Nublado,26.4382495965805
2019-03-06,Miércoles,Marzo,Verano,Ninguno,0,Soleado,26.59002951060258
2019-03-07,Jueves,Marzo,Verano,Ninguno,0,Soleado,30.54290345353803
2019-03-08,Viernes,Marzo,Verano,Ninguno,0,Nublado,29.49853566905375
2019-03-09,Sábado,Marzo,Verano,Ninguno,0,Soleado,30.84588188673862
2019-03-10,Domingo,Marzo,Verano,Ninguno,0,Soleado,29.89375451982897
2019-03-11,Lunes,Marzo,Verano,Ninguno,0,Soleado,28.24680751071894
2019-03-12,Martes,Marzo,Verano,Ninguno,0,Nublado,27.3612078092258
2019-03-13,Miércoles,Marzo,Verano,Ninguno,0,Soleado,30.51301198271921
2019-03-14,Jueves,Marzo,Verano,Ninguno,0,Soleado,28.27888144916805
2019-03-15,Viernes,Marzo,Verano,Ninguno,0,Nublado,27.52978312075326
2019-03-16,Sábado,Marzo,Verano,Ninguno,0,Soleado,28.89609784470948
2019-03-17,Domingo,Marzo,Verano,Ninguno,0,Nublado,30.28307142046188
2019-03-18,Lunes,Marzo,Verano,Ninguno,0,Soleado,29.79259764917605
2019-03-19,Martes,Marzo,Verano,Ninguno,0,Soleado,28.16046519887552
2019-03-20,Miércoles,Marzo,Verano,Ninguno,0,Nublado,29.13654420351222
2019-03-21,Jueves,Marzo,Verano,Ninguno,0,Soleado,29.2492330077741
2019-03-22,Viernes,Marzo,Verano,Ninguno,0,Nublado,26.42222160569944
2019-03-23,Sábado,Marzo,Verano,Ninguno,0,Nublado,26.20807086930946
2019-03-24,Domingo,Marzo,Verano,Ninguno,0,Soleado,28.46995409622259
2019-03-25,Lunes,Marzo,Verano,Ninguno,0,Soleado,26.72262094433023
2019-03-26,Martes,Marzo,Verano,Ninguno,0,Soleado,26.51701483861276
2019-03-27,Miércoles,Marzo,Verano,Ninguno,0,Soleado,26.85296484268443
2019-03-28,Jueves,Marzo,Verano,Jueves Santo,1,Nublado,30.62560059188399
2019-03-29,Viernes,Marzo,Verano,Viernes Santo,1,Nublado,27.73434902267418
2019-03-30,Sábado,Marzo,Verano,Ninguno,0,Nublado,28.95457745740708
2019-03-31,Domingo,Marzo,Verano,Ninguno,0,Soleado,30.79279606620723
2019-04-01,Lunes,Abril,Otoño,Ninguno,0,Soleado,22.9292137477716
2019-04-02,Martes,Abril,Otoño,Ninguno,0,Nublado,21.33091999968975
2019-04-03,Miércoles,Abril,Otoño,Ninguno,0,Lluvioso,22.94663332335264
2019-04-04,Jueves,Abril,Otoño,Ninguno,0,Lluvioso,24.75130581989993
2019-04-05,Viernes,Abril,Otoño,Ninguno,0,Nublado,23.2869122095043
2019-04-06,Sábado,Abril,Otoño,Ninguno,0,Nublado,22.06790265236758
2019-04-07,Domingo,Abril,Otoño,Ninguno,0,Nublado,22.32627598937021
2019-04-08,Lunes,Abril,Otoño,Ninguno,0,Nublado,22.75564584122019
2019-04-09,Martes,Abril,Otoño,Ninguno,0,Nublado,21.08644831952132
2019-04-10,Miércoles,Abril,Otoño,Ninguno,0,Nublado,24.58464308735907
2019-04-11,Jueves,Abril,Otoño,Ninguno,0,Lluvioso,21.56099635599444
2019-04-12,Viernes,Abril,Otoño,Ninguno,0,Soleado,21.43430296454178
2019-04-13,Sábado,Abril,Otoño,Ninguno,0,Nublado,23.68896037215925
2019-04-14,Domingo,Abril,Otoño,Ninguno,0,Soleado,23.63769053876761
2019-04-15,Lunes,Abril,Otoño,Ninguno,0,Soleado,23.90797845714753
2019-04-16,Martes,Abril,Otoño,Ninguno,0,Lluvioso,21.43096378382359
2019-04-17,Miércoles,Abril,Otoño,Ninguno,0,Lluvioso,24.66404738055043
2019-04-18,Jueves,Abril,Otoño,Ninguno,0,Lluvioso,21.14965022470472
2019-04-19,Viernes,Abril,Otoño,Ninguno,0,Soleado,23.21940987756593
2019-04-20,Sábado,Abril,Otoño,Ninguno,0,Nublado,24.31915897252965
2019-04-21,Domingo,Abril,Otoño,Ninguno,0,Nublado,24.23300588825721
2019-04-22,Lunes,Abril,Otoño,Ninguno,0,Lluvioso,24.81159758027898
2019-04-23,Martes,Abril,Otoño,Ninguno,0,Soleado,22.16367135256047
2019-04-24,Miércoles,Abril,Otoño,Ninguno,0,Nublado,22.02386036227041
2019-04-25,Jueves,Abril,Otoño,Ninguno,0,Nublado,24.74417428019585
2019-04-26,Viernes,Abril,Otoño,Ninguno,0,Soleado,21.17964247756932
2019-04-27,Sábado,Abril,Otoño,Ninguno,0,Soleado,22.74038824001215
2019-04-28,Domingo,Abril,Otoño,Ninguno,0,Lluvioso,24.56670906501965
2019-04-29,Lunes,Abril,Otoño,Ninguno,0,Lluvioso,23.9944320778278
2019-04-30,Martes,Abril,Otoño,Ninguno,0,Lluvioso,24.57378655879145
2019-05-01,Miércoles,Mayo,Otoño,Día del Trabajador,1,Lluvioso,23.0754334415458
2019-05-02,Jueves,Mayo,Otoño,Ninguno,0,Nublado,24.08804972844395
2019-05-03,Viernes,Mayo,Otoño,Ninguno,0,Soleado,23.64664505267104
2019-05-04,Sábado,Mayo,Otoño,Ninguno,0,Nublado,21.37786667224606
2019-05-05,Domingo,Mayo,Otoño,Ninguno,0,Nublado,23.9871584453961
2019-05-06,Lunes,Mayo,Otoño,Ninguno,0,Nublado,24.74725260213512
2019-05-07,Martes,Mayo,Otoño,Ninguno,0,Soleado,21.96388230002274
2019-05-08,Miércoles,Mayo,Otoño,Ninguno,0,Soleado,24.32445068849962
2019-05-09,Jueves,Mayo,Otoño,Ninguno,0,Soleado,21.61313726649798
2019-05-10,Viernes,Mayo,Otoño,Ninguno,0,Lluvioso,23.39753116608338
2019-05-11,Sábado,Mayo,Otoño,Ninguno,0,Soleado,24.49824816334986
2019-05-12,Domingo,Mayo,Otoño,Día de la Madre,0,Soleado,22.24129469160038
2019-05-13,Lunes,Mayo,Otoño,Ninguno,0,Soleado,24.10961935296471
2019-05-14,Martes,Mayo,Otoño,Ninguno,0,Soleado,23.00296474480937
2019-05-15,Miércoles,Mayo,Otoño,Ninguno,0,Lluvioso,21.575590010205
2019-05-16,Jueves,Mayo,Otoño,Ninguno,0,Lluvioso,21.91862411999542
2019-05-17,Viernes,Mayo,Otoño,Ninguno,0,Soleado,21.52728887114608
2019-05-18,Sábado,Mayo,Otoño,Ninguno,0,Soleado,21.48733001851413
2019-05-19,Domingo,Mayo,Otoño,Ninguno,0,Lluvioso,23.02531972648253
2019-05-20,Lunes,Mayo,Otoño,Ninguno,0,Lluvioso,23.32446643688361
2019-05-21,Martes,Mayo,Otoño,Ninguno,0,Lluvioso,21.79910260664023
2019-05-22,Miércoles,Mayo,Otoño,Ninguno,0,Lluvioso,23.86162851846321
2019-05-23,Jueves,Mayo,Otoño,Ninguno,0,Lluvioso,23.95593601566217
2019-05-24,Viernes,Mayo,Otoño,Ninguno,0,Lluvioso,21.49501521460138
2019-05-25,Sábado,Mayo,Otoño,Ninguno,0,Soleado,24.71025020402603
2019-05-26,Domingo,Mayo,Otoño,Ninguno,0,Soleado,22.20379476712376
2019-05-27,Lunes,Mayo,Otoño,Ninguno,0,Nublado,22.95433618140613
2019-05-28,Martes,Mayo,Otoño,Ninguno,0,Nublado,24.82249302818788
2019-05-29,Miércoles,Mayo,Otoño,Ninguno,0,Nublado,22.14578490752822
2019-05-30,Jueves,Mayo,Otoño,Ninguno,0,Lluvioso,21.09943796554503
2019-05-31,Viernes,Mayo,Otoño,Ninguno,0,Lluvioso,23.2207921693073
2019-06-01,Sábado,Junio,Otoño,Ninguno,0,Soleado,21.42358961500301
2019-06-02,Domingo,Junio,Otoño,Ninguno,0,Nublado,21.56135838825565
2019-06-03,Lunes,Junio,Otoño,Ninguno,0,Lluvioso,24.86492764857273
2019-06-04,Martes,Junio,Otoño,Ninguno,0,Nublado,23.38417021293749
2019-06-05,Miércoles,Junio,Otoño,Ninguno,0,Soleado,24.21744366245188
2019-06-06,Jueves,Junio,Otoño,Ninguno,0,Lluvioso,22.86952640622117
2019-06-07,Viernes,Junio,Otoño,Batalla de Arica / Día de la Bandera,1,Nublado,21.07134713590795
2019-06-08,Sábado,Junio,Otoño,Ninguno,0,Lluvioso,21.43657598706294
2019-06-09,Domingo,Junio,Otoño,Ninguno,0,Soleado,24.18726835330065
2019-06-10,Lunes,Junio,Otoño,Ninguno,0,Lluvioso,21.93056296786574
2019-06-11,Martes,Junio,Otoño,Ninguno,0,Nublado,23.42406328280005
2019-06-12,Miércoles,Junio,Otoño,Ninguno,0,Nublado,24.47095581510404
2019-06-13,Jueves,Junio,Otoño,Ninguno,0,Lluvioso,22.65028627709472
2019-06-14,Viernes,Junio,Otoño,Ninguno,0,Nublado,22.49673617362873
2019-06-15,Sábado,Junio,Otoño,Ninguno,0,Lluvioso,23.6077241023199
2019-06-16,Domingo,Junio,Otoño,Día del Padre,0,Nublado,24.4699625270093
2019-06-17,Lunes,Junio,Otoño,Ninguno,0,Soleado,21.99135825180543
2019-06-18,Martes,Junio,Otoño,Ninguno,0,Nublado,21.94664945199033
2019-06-19,Miércoles,Junio,Otoño,Ninguno,0,Lluvioso,24.26627505369564
2019-06-20,Jueves,Junio,Otoño,Ninguno,0,Lluvioso,21.4211123194165
2019-06-21,Viernes,Junio,Otoño,Ninguno,0,Lluvioso,23.37773465502581
2019-06-22,Sábado,Junio,Otoño,Ninguno,0,Soleado,21.58469297677079
2019-06-23,Domingo,Junio,Otoño,Ninguno,0,Soleado,22.2413386956963
2019-06-24,Lunes,Junio,Otoño,Ninguno,0,Lluvioso,21.57548773188457
2019-06-25,Martes,Junio,Otoño,Ninguno,0,Lluvioso,21.66212689094111
2019-06-26,Miércoles,Junio,Otoño,Ninguno,0,Lluvioso,22.13888032935174
2019-06-27,Jueves,Junio,Otoño,Ninguno,0,Nublado,21.46196025466142
2019-06-28,Viernes,Junio,Otoño,Ninguno,0,Soleado,21.08459206534576
2019-06-29,Sábado,Junio,Otoño,San Pedro y San Pablo,1,Lluvioso,21.69856588374341
2019-06-30,Domingo,Junio,Otoño,Ninguno,0,Soleado,21.2135277305087
2019-07-01,Lunes,Julio,Invierno,Ninguno,0,Nublado,19.72285810719803
2019-07-02,Martes,Julio,Invierno,Ninguno,0,Lluvioso,18.57452182732811
2019-07-03,Miércoles,Julio,Invierno,Ninguno,0,Lluvioso,19.01810494808892
2019-07-04,Jueves,Julio,Invierno,Ninguno,0,Nublado,20.50001976893843
2019-07-05,Viernes,Julio,Invierno,Ninguno,0,Lluvioso,17.17390024805117
2019-07-06,Sábado,Julio,Invierno,Ninguno,0,Lluvioso,17.7259936383861
2019-07-07,Domingo,Julio,Invierno,Ninguno,0,Lluvioso,17.99755030332885
2019-07-08,Lunes,Julio,Invierno,Ninguno,0,Nublado,19.28493060697109
2019-07-09,Martes,Julio,Invierno,Ninguno,0,Lluvioso,17.19701647971038
2019-07-10,Miércoles,Julio,Invierno,Ninguno,0,Nublado,18.49445655383829
2019-07-11,Jueves,Julio,Invierno,Ninguno,0,Lluvioso,17.40668761161486
2019-07-12,Viernes,Julio,Invierno,Ninguno,0,Lluvioso,20.33383421515424
2019-07-13,Sábado,Julio,Invierno,Ninguno,0,Nublado,20.69936747607225
2019-07-14,Domingo,Julio,Invierno,Ninguno,0,Nublado,17.3964525663195
2019-07-15,Lunes,Julio,Invierno,Ninguno,0,Lluvioso,20.61061257571047
2019-07-16,Martes,Julio,Invierno,Ninguno,0,Lluvioso,20.91828272234637
2019-07-17,Miércoles,Julio,Invierno,Ninguno,0,Nublado,20.11791016308532
2019-07-18,Jueves,Julio,Invierno,Ninguno,0,Lluvioso,19.56993310398219
2019-07-19,Viernes,Julio,Invierno,Ninguno,0,Lluvioso,17.53820883365259
2019-07-20,Sábado,Julio,Invierno,Ninguno,0,Lluvioso,19.14427214379055
2019-07-21,Domingo,Julio,Invierno,Ninguno,0,Nublado,20.43028857649023
2019-07-22,Lunes,Julio,Invierno,Ninguno,0,Lluvioso,18.85119746237406
2019-07-23,Martes,Julio,Invierno,Ninguno,0,Lluvioso,19.55825308494844
2019-07-24,Miércoles,Julio,Invierno,Ninguno,0,Nublado,18.06585327000338
2019-07-25,Jueves,Julio,Invierno,Ninguno,0,Nublado,18.91150909609498
2019-07-26,Viernes,Julio,Invierno,Ninguno,0,Nublado,18.66755747437954
2019-07-27,Sábado,Julio,Invierno,Ninguno,0,Lluvioso,18.47004724046051
2019-07-28,Domingo,Julio,Invierno,Independencia del Perú,1,Nublado,18.46556979930499
2019-07-29,Lunes,Julio,Invierno,Fiestas Patrias,1,Lluvioso,18.51785631890771
2019-07-30,Martes,Julio,Invierno,Ninguno,0,Nublado,19.74297338182378
2019-07-31,Miércoles,Julio,Invierno,Ninguno,0,Nublado,20.79543170686136
2019-08-01,Jueves,Agosto,Invierno,Ninguno,0,Nublado,20.66539207815271
2019-08-02,Viernes,Agosto,Invierno,Ninguno,0,Lluvioso,18.31344482001876
2019-08-03,Sábado,Agosto,Invierno,Ninguno,0,Nublado,19.14173915932001
2019-08-04,Domingo,Agosto,Invierno,Ninguno,0,Lluvioso,19.61034936224041
2019-08-05,Lunes,Agosto,Invierno,Ninguno,0,Lluvioso,20.21756731178831
2019-08-06,Martes,Agosto,Invierno,Ninguno,0,Lluvioso,19.53167051707048
2019-08-07,Miércoles,Agosto,Invierno,Ninguno,0,Lluvioso,18.15262245672985
2019-08-08,Jueves,Agosto,Invierno,Ninguno,0,Nublado,17.80961837250288
2019-08-09,Viernes,Agosto,Invierno,Ninguno,0,Lluvioso,19.77919251527399
2019-08-10,Sábado,Agosto,Invierno,Ninguno,0,Lluvioso,17.52841134920618
2019-08-11,Domingo,Agosto,Invierno,Ninguno,0,Lluvioso,19.45751896216768
2019-08-12,Lunes,Agosto,Invierno,Ninguno,0,Lluvioso,19.90286251308571
2019-08-13,Martes,Agosto,Invierno,Ninguno,0,Nublado,17.33797287529408
2019-08-14,Miércoles,Agosto,Invierno,Ninguno,0,Lluvioso,17.54963172015121
2019-08-15,Jueves,Agosto,Invierno,Ninguno,0,Lluvioso,20.83552098363632
2019-08-16,Viernes,Agosto,Invierno,Ninguno,0,Nublado,19.37472801786542
2019-08-17,Sábado,Agosto,Invierno,Ninguno,0,Lluvioso,20.13049641851819
2019-08-18,Domingo,Agosto,Invierno,Ninguno,0,Lluvioso,20.78410825126932
2019-08-19,Lunes,Agosto,Invierno,Ninguno,0,Lluvioso,18.01353341535675
2019-08-20,Martes,Agosto,Invierno,Ninguno,0,Lluvioso,17.38019679025761
2019-08-21,Miércoles,Agosto,Invierno,Ninguno,0,Lluvioso,19.46466280009648
2019-08-22,Jueves,Agosto,Invierno,Ninguno,0,Nublado,19.25980244588977
2019-08-23,Viernes,Agosto,Invierno,Ninguno,0,Nublado,19.2897220561354
2019-08-24,Sábado,Agosto,Invierno,Ninguno,0,Nublado,19.09052710205249
2019-08-25,Domingo,Agosto,Invierno,Ninguno,0,Nublado,20.05569356002635
2019-08-26,Lunes,Agosto,Invierno,Ninguno,0,Lluvioso,18.96861286230172
2019-08-27,Martes,Agosto,Invierno,Ninguno,0,Lluvioso,19.39837376609045
2019-08-28,Miércoles,Agosto,Invierno,Ninguno,0,Nublado,17.47893435400449
2019-08-29,Jueves,Agosto,Invierno,Ninguno,0,Lluvioso,17.46841426360044
2019-08-30,Viernes,Agosto,Invierno,Santa Rosa de Lima,1,Lluvioso,19.63145314016211
2019-08-31,Sábado,Agosto,Invierno,Ninguno,0,Nublado,18.67443320316152
2019-09-01,Domingo,Septiembre,Invierno,Ninguno,0,Lluvioso,19.68492565323437
2019-09-02,Lunes,Septiembre,Invierno,Ninguno,0,Lluvioso,18.33455103331295
2019-09-03,Martes,Septiembre,Invierno,Ninguno,0,Lluvioso,20.05012858828261
2019-09-04,Miércoles,Septiembre,Invierno,Ninguno,0,Lluvioso,18.0821397636407
2019-09-05,Jueves,Septiembre,Invierno,Ninguno,0,Lluvioso,18.25775992081705
2019-09-06,Viernes,Septiembre,Invierno,Ninguno,0,Nublado,17.6304465945
2019-09-07,Sábado,Septiembre,Invierno,Ninguno,0,Lluvioso,20.74450985350298
2019-09-08,Domingo,Septiembre,Invierno,Ninguno,0,Nublado,18.75161614879501
2019-09-09,Lunes,Septiembre,Invierno,Ninguno,0,Lluvioso,19.91874283470951
2019-09-10,Martes,Septiembre,Invierno,Ninguno,0,Nublado,19.2119722610116
2019-09-11,Miércoles,Septiembre,Invierno,Ninguno,0,Lluvioso,20.12120597563757
2019-09-12,Jueves,Septiembre,Invierno,Ninguno,0,Lluvioso,18.91747825649816
2019-09-13,Viernes,Septiembre,Invierno,Ninguno,0,Nublado,20.94652617969729
2019-09-14,Sábado,Septiembre,Invierno,Ninguno,0,Nublado,19.87104094401457
2019-09-15,Domingo,Septiembre,Invierno,Ninguno,0,Lluvioso,17.47391430886817
2019-09-16,Lunes,Septiembre,Invierno,Ninguno,0,Lluvioso,20.40213471676313
2019-09-17,Martes,Septiembre,Invierno,Ninguno,0,Lluvioso,17.48768671334045
2019-09-18,Miércoles,Septiembre,Invierno,Ninguno,0,Lluvioso,19.35303199987688
2019-09-19,Jueves,Septiembre,Invierno,Ninguno,0,Nublado,17.04921074355441
2019-09-20,Viernes,Septiembre,Invierno,Ninguno,0,Lluvioso,18.81727184736699
2019-09-21,Sábado,Septiembre,Invierno,Ninguno,0,Lluvioso,18.18143610137636
2019-09-22,Domingo,Septiembre,Invierno,Ninguno,0,Lluvioso,18.83419232719421
2019-09-23,Lunes,Septiembre,Invierno,Ninguno,0,Nublado,18.20770956576997
2019-09-24,Martes,Septiembre,Invierno,Ninguno,0,Nublado,20.67376758206222
2019-09-25,Miércoles,Septiembre,Invierno,Ninguno,0,Lluvioso,17.44235364398444
2019-09-26,Jueves,Septiembre,Invierno,Ninguno,0,Lluvioso,20.98813863135029
2019-09-27,Viernes,Septiembre,Invierno,Ninguno,0,Nublado,18.13563375145615
2019-09-28,Sábado,Septiembre,Invierno,Ninguno,0,Lluvioso,20.34758631864375
2019-09-29,Domingo,Septiembre,Invierno,Ninguno,0,Nublado,20.99641892189695
2019-09-30,Lunes,Septiembre,Invierno,Ninguno,0,Nublado,19.66273894442615
2019-10-01,Martes,Octubre,Primavera,Ninguno,0,Soleado,22.36176290793653
2019-10-02,Miércoles,Octubre,Primavera,Ninguno,0,Nublado,25.5881335955865
2019-10-03,Jueves,Octubre,Primavera,Ninguno,0,Nublado,22.96331223216459
2019-10-04,Viernes,Octubre,Primavera,Ninguno,0,Soleado,22.57208750066654
2019-10-05,Sábado,Octubre,Primavera,Ninguno,0,Nublado,22.79281690885159
2019-10-06,Domingo,Octubre,Primavera,Ninguno,0,Nublado,25.64255290852354
2019-10-07,Lunes,Octubre,Primavera,Ninguno,0,Soleado,22.14465084197878
2019-10-08,Martes,Octubre,Primavera,Combate de Angamos,1,Nublado,22.0217193365148
2019-10-09,Miércoles,Octubre,Primavera,Ninguno,0,Soleado,24.42370071059091
2019-10-10,Jueves,Octubre,Primavera,Ninguno,0,Soleado,25.20592724343766
2019-10-11,Viernes,Octubre,Primavera,Ninguno,0,Nublado,25.39763537169229
2019-10-12,Sábado,Octubre,Primavera,Ninguno,0,Soleado,22.22892776061304
2019-10-13,Domingo,Octubre,Primavera,Ninguno,0,Nublado,25.71118172068912
2019-10-14,Lunes,Octubre,Primavera,Ninguno,0,Nublado,25.08843359641752
2019-10-15,Martes,Octubre,Primavera,Ninguno,0,Nublado,25.35192087462153
2019-10-16,Miércoles,Octubre,Primavera,Ninguno,0,Nublado,22.16060519818826
2019-10-17,Jueves,Octubre,Primavera,Ninguno,0,Soleado,22.49969471722257
2019-10-18,Viernes,Octubre,Primavera,Ninguno,0,Soleado,24.01812396077194
2019-10-19,Sábado,Octubre,Primavera,Ninguno,0,Nublado,24.52004737830559
2019-10-20,Domingo,Octubre,Primavera,Ninguno,0,Nublado,25.40452439904774
2019-10-21,Lunes,Octubre,Primavera,Ninguno,0,Soleado,24.93848436774065
2019-10-22,Martes,Octubre,Primavera,Ninguno,0,Soleado,22.77216596347562
2019-10-23,Miércoles,Octubre,Primavera,Ninguno,0,Soleado,24.83961878912521
2019-10-24,Jueves,Octubre,Primavera,Ninguno,0,Soleado,25.92081913959473
2019-10-25,Viernes,Octubre,Primavera,Ninguno,0,Nublado,22.21800125996518
2019-10-26,Sábado,Octubre,Primavera,Ninguno,0,Nublado,24.46523587971013
2019-10-27,Domingo,Octubre,Primavera,Ninguno,0,Soleado,25.53658284546727
2019-10-28,Lunes,Octubre,Primavera,Ninguno,0,Soleado,24.83831314040248
2019-10-29,Martes,Octubre,Primavera,Ninguno,0,Soleado,22.36688402329679
2019-10-30,Miércoles,Octubre,Primavera,Ninguno,0,Soleado,22.73413291552128
2019-10-31,Jueves,Octubre,Primavera,Ninguno,0,Soleado,23.83424256983396
2019-11-01,Viernes,Noviembre,Primavera,Todos los Santos,1,Nublado,25.13632379336563
2019-11-02,Sábado,Noviembre,Primavera,Ninguno,0,Soleado,24.28965259983455
2019-11-03,Domingo,Noviembre,Primavera,Ninguno,0,Nublado,22.5805210186602
2019-11-04,Lunes,Noviembre,Primavera,Ninguno,0,Soleado,23.20537053005887
2019-11-05,Martes,Noviembre,Primavera,Ninguno,0,Nublado,24.31206886323017
2019-11-06,Miércoles,Noviembre,Primavera,Ninguno,0,Nublado,24.59693262098124
2019-11-07,Jueves,Noviembre,Primavera,Ninguno,0,Nublado,25.76237763878207
2019-11-08,Viernes,Noviembre,Primavera,Ninguno,0,Soleado,24.03341095378777
2019-11-09,Sábado,Noviembre,Primavera,Ninguno,0,Soleado,23.61613756296306
2019-11-10,Domingo,Noviembre,Primavera,Ninguno,0,Nublado,22.47687010479098
2019-11-11,Lunes,Noviembre,Primavera,Ninguno,0,Soleado,22.53637843949106
2019-11-12,Martes,Noviembre,Primavera,Ninguno,0,Nublado,23.21881841504333
2019-11-13,Miércoles,Noviembre,Primavera,Ninguno,0,Soleado,23.7116128547254
2019-11-14,Jueves,Noviembre,Primavera,Ninguno,0,Nublado,24.53851646967305
2019-11-15,Viernes,Noviembre,Primavera,Ninguno,0,Nublado,23.64724358634228
2019-11-16,Sábado,Noviembre,Primavera,Ninguno,0,Soleado,22.87051410678785
2019-11-17,Domingo,Noviembre,Primavera,Ninguno,0,Soleado,24.35322499363603
