id_venta,fecha,hora,id_plato,cantidad,precio_unitario,precio_total,forma_de_pago,responsable_de_venta,canal,numero_comprobante,datos_cliente,temporada
V720210102,2021-01-02,00:00:00,7,11.0,22.0,242.0,Tarjeta,Luis,Delivery,97238572,,verano
V820210102,2021-01-02,00:00:00,8,7.0,28.0,196.0,Efectivo,María,Delivery,69577604,,verano
V920210102,2021-01-02,00:00:00,9,8.0,18.0,144.0,Yape,Luis,Take-out,04577382,,verano
V1020210102,2021-01-02,00:00:00,10,7.0,15.0,105.0,Yape,Ana,Mesa,03164798,,verano
V1120210102,2021-01-02,00:00:00,11,8.0,28.0,224.0,Yape,Ana,Take-out,12365319,,verano
V1220210102,2021-01-02,00:00:00,12,2.0,18.0,36.0,Tarjeta,María,Take-out,77666125,,verano
V120210103,2021-01-03,00:00:00,1,25.0,26.0,650.0,Efectivo,María,Delivery,76445972,,verano
V220210103,2021-01-03,00:00:00,2,23.0,32.0,736.0,Yape,José,Delivery,89822734,,verano
V320210103,2021-01-03,00:00:00,3,29.0,30.0,870.0,Tarjeta,José,Mesa,25961652,,verano
V420210103,2021-01-03,00:00:00,4,13.0,24.0,312.0,Yape,Luis,Take-out,21346199,,verano
V520210103,2021-01-03,00:00:00,5,15.0,25.0,375.0,Efectivo,José,Take-out,98419369,,verano
V620210103,2021-01-03,00:00:00,6,11.0,24.0,264.0,Efectivo,Luis,Take-out,78094890,,verano
V720210103,2021-01-03,00:00:00,7,10.0,22.0,220.0,Tarjeta,José,Mesa,99980519,,verano
V820210103,2021-01-03,00:00:00,8,9.0,28.0,252.0,Tarjeta,José,Take-out,54984111,,verano
V920210103,2021-01-03,00:00:00,9,8.0,18.0,144.0,Tarjeta,María,Take-out,17757188,,verano
V1020210103,2021-01-03,00:00:00,10,8.0,15.0,120.0,Tarjeta,María,Mesa,40949034,,verano
V1120210103,2021-01-03,00:00:00,11,2.0,28.0,56.0,Tarjeta,María,Delivery,55232641,,verano
V120210104,2021-01-04,00:00:00,1,20.0,26.0,520.0,Yape,María,Take-out,19262117,,verano
V220210104,2021-01-04,00:00:00,2,16.0,32.0,512.0,Yape,María,Delivery,79788765,,verano
V320210104,2021-01-04,00:00:00,3,20.0,30.0,600.0,Efectivo,José,Take-out,70505551,,verano
V420210104,2021-01-04,00:00:00,4,17.0,24.0,408.0,Tarjeta,José,Mesa,67484014,,verano
V520210104,2021-01-04,00:00:00,5,8.0,25.0,200.0,Yape,Ana,Take-out,48738750,,verano
V620210104,2021-01-04,00:00:00,6,10.0,24.0,240.0,Tarjeta,Ana,Take-out,99090477,,verano
V720210104,2021-01-04,00:00:00,7,9.0,22.0,198.0,Yape,José,Delivery,93893665,,verano
V820210104,2021-01-04,00:00:00,8,5.0,28.0,140.0,Yape,María,Mesa,15572002,,verano
V920210104,2021-01-04,00:00:00,9,6.0,18.0,108.0,Yape,José,Take-out,32411870,,verano
V1020210104,2021-01-04,00:00:00,10,3.0,15.0,45.0,Yape,José,Take-out,78021057,,verano
V1120210104,2021-01-04,00:00:00,11,5.0,28.0,140.0,Efectivo,Luis,Take-out,04577192,,verano
V1220210104,2021-01-04,00:00:00,12,2.0,18.0,36.0,Yape,María,Take-out,56331623,,verano
V120210105,2021-01-05,00:00:00,1,20.0,26.0,520.0,Efectivo,Luis,Take-out,65036356,,verano
V220210105,2021-01-05,00:00:00,2,14.0,32.0,448.0,Tarjeta,Luis,Delivery,37483789,,verano
V320210105,2021-01-05,00:00:00,3,21.0,30.0,630.0,Yape,José,Delivery,51226980,,verano
V420210105,2021-01-05,00:00:00,4,14.0,24.0,336.0,Yape,Luis,Mesa,26681775,,verano
V520210105,2021-01-05,00:00:00,5,13.0,25.0,325.0,Tarjeta,Luis,Delivery,39217779,,verano
V620210105,2021-01-05,00:00:00,6,15.0,24.0,360.0,Yape,Luis,Delivery,95735325,,verano
V720210105,2021-01-05,00:00:00,7,10.0,22.0,220.0,Tarjeta,José,Mesa,87732308,,verano
V820210105,2021-01-05,00:00:00,8,6.0,28.0,168.0,Yape,Luis,Mesa,29541338,,verano
V920210105,2021-01-05,00:00:00,9,6.0,18.0,108.0,Tarjeta,María,Delivery,74774731,,verano
V1020210105,2021-01-05,00:00:00,10,3.0,15.0,45.0,Yape,José,Mesa,95600896,,verano
V1120210105,2021-01-05,00:00:00,11,4.0,28.0,112.0,Efectivo,José,Mesa,82705366,,verano
V1220210105,2021-01-05,00:00:00,12,3.0,18.0,54.0,Yape,José,Take-out,40505290,,verano
V120210106,2021-01-06,00:00:00,1,21.0,26.0,546.0,Yape,José,Mesa,10115823,,verano
V220210106,2021-01-06,00:00:00,2,19.0,32.0,608.0,Tarjeta,José,Delivery,59268687,,verano
V320210106,2021-01-06,00:00:00,3,18.0,30.0,540.0,Efectivo,José,Delivery,34670863,,verano
V420210106,2021-01-06,00:00:00,4,14.0,24.0,336.0,Efectivo,Ana,Mesa,28840098,,verano
V520210106,2021-01-06,00:00:00,5,7.0,25.0,175.0,Yape,Ana,Mesa,93957730,,verano
V620210106,2021-01-06,00:00:00,6,11.0,24.0,264.0,Efectivo,Luis,Take-out,83837197,,verano
V720210106,2021-01-06,00:00:00,7,14.0,22.0,308.0,Yape,María,Mesa,02066593,,verano
V820210106,2021-01-06,00:00:00,8,4.0,28.0,112.0,Yape,María,Delivery,43946606,,verano
V920210106,2021-01-06,00:00:00,9,8.0,18.0,144.0,Efectivo,Ana,Mesa,23713309,,verano
V1020210106,2021-01-06,00:00:00,10,2.0,15.0,30.0,Tarjeta,María,Delivery,10455105,,verano
V1120210106,2021-01-06,00:00:00,11,5.0,28.0,140.0,Yape,María,Delivery,04775925,,verano
V1220210106,2021-01-06,00:00:00,12,2.0,18.0,36.0,Yape,José,Mesa,13404440,,verano
V120210107,2021-01-07,00:00:00,1,8.0,26.0,208.0,Tarjeta,Luis,Take-out,65113936,,verano
V220210107,2021-01-07,00:00:00,2,18.0,32.0,576.0,Tarjeta,José,Delivery,48653664,,verano
V320210107,2021-01-07,00:00:00,3,25.0,30.0,750.0,Efectivo,José,Delivery,26452383,,verano
V420210107,2021-01-07,00:00:00,4,15.0,24.0,360.0,Efectivo,Luis,Take-out,91707927,,verano
V520210107,2021-01-07,00:00:00,5,10.0,25.0,250.0,Yape,Ana,Delivery,61321434,,verano
V620210107,2021-01-07,00:00:00,6,7.0,24.0,168.0,Yape,José,Take-out,45965738,,verano
V720210107,2021-01-07,00:00:00,7,16.0,22.0,352.0,Yape,Ana,Mesa,76360963,,verano
V820210107,2021-01-07,00:00:00,8,2.0,28.0,56.0,Tarjeta,José,Mesa,02555543,,verano
V920210107,2021-01-07,00:00:00,9,9.0,18.0,162.0,Yape,Luis,Delivery,94290873,,verano
V1020210107,2021-01-07,00:00:00,10,5.0,15.0,75.0,Tarjeta,José,Mesa,53074007,,verano
V1120210107,2021-01-07,00:00:00,11,4.0,28.0,112.0,Efectivo,María,Take-out,18975534,,verano
V1220210107,2021-01-07,00:00:00,12,1.0,18.0,18.0,Tarjeta,Luis,Delivery,61637844,,verano
V120210108,2021-01-08,00:00:00,1,15.0,26.0,390.0,Efectivo,Luis,Mesa,27757531,,verano
V220210108,2021-01-08,00:00:00,2,19.0,32.0,608.0,Efectivo,María,Take-out,85656538,,verano
V320210108,2021-01-08,00:00:00,3,21.0,30.0,630.0,Yape,Luis,Take-out,72601131,,verano
V420210108,2021-01-08,00:00:00,4,22.0,24.0,528.0,Yape,Luis,Take-out,35544599,,verano
V520210108,2021-01-08,00:00:00,5,13.0,25.0,325.0,Efectivo,Luis,Delivery,21868941,,verano
V620210108,2021-01-08,00:00:00,6,10.0,24.0,240.0,Tarjeta,José,Delivery,64840072,,verano
V720210108,2021-01-08,00:00:00,7,7.0,22.0,154.0,Tarjeta,Luis,Take-out,27574552,,verano
V820210108,2021-01-08,00:00:00,8,4.0,28.0,112.0,Yape,María,Take-out,80759187,,verano
V920210108,2021-01-08,00:00:00,9,7.0,18.0,126.0,Tarjeta,Ana,Delivery,28081827,,verano
V1020210108,2021-01-08,00:00:00,10,5.0,15.0,75.0,Yape,María,Take-out,64678855,,verano
V1120210108,2021-01-08,00:00:00,11,8.0,28.0,224.0,Yape,Luis,Delivery,92595981,,verano
V1220210108,2021-01-08,00:00:00,12,3.0,18.0,54.0,Tarjeta,Ana,Delivery,81827876,,verano
V120210109,2021-01-09,00:00:00,1,13.0,26.0,338.0,Tarjeta,Luis,Take-out,66307747,,verano
V220210109,2021-01-09,00:00:00,2,24.0,32.0,768.0,Yape,María,Delivery,93077746,,verano
V320210109,2021-01-09,00:00:00,3,15.0,30.0,450.0,Tarjeta,Ana,Take-out,39843251,,verano
V420210109,2021-01-09,00:00:00,4,12.0,24.0,288.0,Tarjeta,María,Take-out,70680914,,verano
V520210109,2021-01-09,00:00:00,5,10.0,25.0,250.0,Tarjeta,Luis,Take-out,98388030,,verano
V620210109,2021-01-09,00:00:00,6,9.0,24.0,216.0,Yape,Luis,Mesa,33626704,,verano
V720210109,2021-01-09,00:00:00,7,9.0,22.0,198.0,Efectivo,Luis,Take-out,60689410,,verano
V820210109,2021-01-09,00:00:00,8,6.0,28.0,168.0,Tarjeta,Ana,Take-out,81323886,,verano
V920210109,2021-01-09,00:00:00,9,9.0,18.0,162.0,Yape,Luis,Mesa,50647614,,verano
V1020210109,2021-01-09,00:00:00,10,3.0,15.0,45.0,Yape,José,Mesa,01753931,,verano
V1220210109,2021-01-09,00:00:00,12,4.0,18.0,72.0,Tarjeta,Ana,Mesa,56676863,,verano
V120210110,2021-01-10,00:00:00,1,20.0,26.0,520.0,Yape,Luis,Take-out,36772326,,verano
V220210110,2021-01-10,00:00:00,2,21.0,32.0,672.0,Efectivo,Ana,Delivery,91853679,,verano
V320210110,2021-01-10,00:00:00,3,16.0,30.0,480.0,Efectivo,Ana,Take-out,02007565,,verano
V420210110,2021-01-10,00:00:00,4,18.0,24.0,432.0,Tarjeta,José,Take-out,46510099,,verano
V520210110,2021-01-10,00:00:00,5,13.0,25.0,325.0,Efectivo,María,Delivery,57663492,,verano
V620210110,2021-01-10,00:00:00,6,12.0,24.0,288.0,Efectivo,Ana,Delivery,16066101,,verano
V720210110,2021-01-10,00:00:00,7,10.0,22.0,220.0,Efectivo,Luis,Delivery,95771172,,verano
V820210110,2021-01-10,00:00:00,8,8.0,28.0,224.0,Efectivo,Ana,Delivery,82075043,,verano
V920210110,2021-01-10,00:00:00,9,5.0,18.0,90.0,Tarjeta,Luis,Delivery,17861708,,verano
V1020210110,2021-01-10,00:00:00,10,3.0,15.0,45.0,Efectivo,Luis,Mesa,43198597,,verano
V1120210110,2021-01-10,00:00:00,11,5.0,28.0,140.0,Tarjeta,Luis,Delivery,29385160,,verano
V1220210110,2021-01-10,00:00:00,12,4.0,18.0,72.0,Efectivo,Ana,Delivery,04283502,,verano
V120210111,2021-01-11,00:00:00,1,17.0,26.0,442.0,Yape,María,Take-out,64547197,,verano
V220210111,2021-01-11,00:00:00,2,14.0,32.0,448.0,Efectivo,Luis,Mesa,90566037,,verano
V320210111,2021-01-11,00:00:00,3,17.0,30.0,510.0,Tarjeta,María,Mesa,29499120,,verano
V420210111,2021-01-11,00:00:00,4,13.0,24.0,312.0,Efectivo,José,Take-out,84755635,,verano
V520210111,2021-01-11,00:00:00,5,17.0,25.0,425.0,Efectivo,José,Take-out,92238773,,verano
V620210111,2021-01-11,00:00:00,6,9.0,24.0,216.0,Tarjeta,Luis,Mesa,91711431,,verano
V720210111,2021-01-11,00:00:00,7,10.0,22.0,220.0,Tarjeta,Luis,Delivery,32116860,,verano
V820210111,2021-01-11,00:00:00,8,3.0,28.0,84.0,Tarjeta,Luis,Mesa,79302819,,verano
V920210111,2021-01-11,00:00:00,9,8.0,18.0,144.0,Tarjeta,Luis,Mesa,48108918,,verano
V1020210111,2021-01-11,00:00:00,10,4.0,15.0,60.0,Tarjeta,Ana,Take-out,59091680,,verano
V1120210111,2021-01-11,00:00:00,11,2.0,28.0,56.0,Tarjeta,Ana,Mesa,90947434,,verano
V120210112,2021-01-12,00:00:00,1,23.0,26.0,598.0,Tarjeta,Luis,Mesa,24166648,,verano
V220210112,2021-01-12,00:00:00,2,20.0,32.0,640.0,Tarjeta,Ana,Mesa,21185687,,verano
V320210112,2021-01-12,00:00:00,3,12.0,30.0,360.0,Tarjeta,María,Delivery,54953132,,verano
V420210112,2021-01-12,00:00:00,4,19.0,24.0,456.0,Tarjeta,Ana,Delivery,57991628,,verano
V520210112,2021-01-12,00:00:00,5,11.0,25.0,275.0,Yape,Ana,Mesa,59399123,,verano
V620210112,2021-01-12,00:00:00,6,9.0,24.0,216.0,Yape,María,Take-out,07955198,,verano
V720210112,2021-01-12,00:00:00,7,4.0,22.0,88.0,Tarjeta,María,Mesa,40225092,,verano
V820210112,2021-01-12,00:00:00,8,5.0,28.0,140.0,Efectivo,María,Take-out,18801711,,verano
V920210112,2021-01-12,00:00:00,9,6.0,18.0,108.0,Yape,María,Mesa,39313119,,verano
V1020210112,2021-01-12,00:00:00,10,2.0,15.0,30.0,Yape,José,Take-out,37586368,,verano
V1120210112,2021-01-12,00:00:00,11,6.0,28.0,168.0,Tarjeta,María,Take-out,61799399,,verano
V120210113,2021-01-13,00:00:00,1,24.0,26.0,624.0,Efectivo,Luis,Take-out,38661430,,verano
V220210113,2021-01-13,00:00:00,2,15.0,32.0,480.0,Tarjeta,María,Mesa,69867302,,verano
V320210113,2021-01-13,00:00:00,3,12.0,30.0,360.0,Yape,Ana,Delivery,21037984,,verano
V420210113,2021-01-13,00:00:00,4,13.0,24.0,312.0,Tarjeta,María,Take-out,38757247,,verano
V520210113,2021-01-13,00:00:00,5,9.0,25.0,225.0,Efectivo,María,Mesa,39013758,,verano
V620210113,2021-01-13,00:00:00,6,6.0,24.0,144.0,Efectivo,María,Take-out,98746640,,verano
V720210113,2021-01-13,00:00:00,7,10.0,22.0,220.0,Tarjeta,Luis,Mesa,45956203,,verano
V820210113,2021-01-13,00:00:00,8,5.0,28.0,140.0,Yape,José,Mesa,00086402,,verano
V920210113,2021-01-13,00:00:00,9,8.0,18.0,144.0,Yape,María,Mesa,41748263,,verano
V1020210113,2021-01-13,00:00:00,10,4.0,15.0,60.0,Tarjeta,José,Delivery,10428516,,verano
V1120210113,2021-01-13,00:00:00,11,5.0,28.0,140.0,Efectivo,Ana,Take-out,35955884,,verano
V120210114,2021-01-14,00:00:00,1,21.0,26.0,546.0,Yape,José,Take-out,84097598,,verano
V220210114,2021-01-14,00:00:00,2,16.0,32.0,512.0,Yape,Luis,Mesa,94912100,,verano
V320210114,2021-01-14,00:00:00,3,14.0,30.0,420.0,Yape,José,Mesa,96829903,,verano
V420210114,2021-01-14,00:00:00,4,18.0,24.0,432.0,Tarjeta,María,Delivery,59075711,,verano
V520210114,2021-01-14,00:00:00,5,15.0,25.0,375.0,Yape,Ana,Mesa,51253434,,verano
V620210114,2021-01-14,00:00:00,6,12.0,24.0,288.0,Yape,José,Mesa,14664386,,verano
V720210114,2021-01-14,00:00:00,7,8.0,22.0,176.0,Efectivo,José,Delivery,80832460,,verano
V820210114,2021-01-14,00:00:00,8,7.0,28.0,196.0,Efectivo,Luis,Delivery,94824612,,verano
V920210114,2021-01-14,00:00:00,9,6.0,18.0,108.0,Tarjeta,José,Take-out,88513518,,verano
V1020210114,2021-01-14,00:00:00,10,3.0,15.0,45.0,Yape,Ana,Mesa,18824972,,verano
V1120210114,2021-01-14,00:00:00,11,7.0,28.0,196.0,Tarjeta,José,Take-out,96244945,,verano
V1220210114,2021-01-14,00:00:00,12,4.0,18.0,72.0,Tarjeta,Luis,Delivery,76231598,,verano
V120210115,2021-01-15,00:00:00,1,13.0,26.0,338.0,Yape,Luis,Take-out,26589641,,verano
V220210115,2021-01-15,00:00:00,2,21.0,32.0,672.0,Efectivo,Ana,Mesa,28396433,,verano
V320210115,2021-01-15,00:00:00,3,10.0,30.0,300.0,Tarjeta,Luis,Delivery,35650998,,verano
V420210115,2021-01-15,00:00:00,4,17.0,24.0,408.0,Yape,María,Delivery,64323269,,verano
V520210115,2021-01-15,00:00:00,5,21.0,25.0,525.0,Yape,María,Mesa,17888666,,verano
V620210115,2021-01-15,00:00:00,6,11.0,24.0,264.0,Yape,Ana,Take-out,42947598,,verano
V720210115,2021-01-15,00:00:00,7,8.0,22.0,176.0,Tarjeta,Luis,Take-out,57965888,,verano
V820210115,2021-01-15,00:00:00,8,4.0,28.0,112.0,Efectivo,María,Mesa,47759986,,verano
V920210115,2021-01-15,00:00:00,9,6.0,18.0,108.0,Efectivo,María,Mesa,73732284,,verano
V1020210115,2021-01-15,00:00:00,10,3.0,15.0,45.0,Yape,Ana,Delivery,85832081,,verano
V1120210115,2021-01-15,00:00:00,11,4.0,28.0,112.0,Efectivo,María,Delivery,98918103,,verano
V1220210115,2021-01-15,00:00:00,12,1.0,18.0,18.0,Efectivo,María,Take-out,04275177,,verano
V120210116,2021-01-16,00:00:00,1,27.0,26.0,702.0,Efectivo,José,Take-out,44405798,,verano
V220210116,2021-01-16,00:00:00,2,20.0,32.0,640.0,Yape,Luis,Mesa,66263135,,verano
V320210116,2021-01-16,00:00:00,3,14.0,30.0,420.0,Efectivo,Ana,Mesa,22753893,,verano
V420210116,2021-01-16,00:00:00,4,16.0,24.0,384.0,Tarjeta,María,Mesa,19802920,,verano
V520210116,2021-01-16,00:00:00,5,12.0,25.0,300.0,Yape,Luis,Mesa,36082509,,verano
V620210116,2021-01-16,00:00:00,6,15.0,24.0,360.0,Yape,Ana,Take-out,80141272,,verano
V720210116,2021-01-16,00:00:00,7,11.0,22.0,242.0,Yape,Ana,Delivery,41567485,,verano
V820210116,2021-01-16,00:00:00,8,9.0,28.0,252.0,Yape,Ana,Delivery,11112527,,verano
V920210116,2021-01-16,00:00:00,9,2.0,18.0,36.0,Tarjeta,Luis,Mesa,59642001,,verano
V1020210116,2021-01-16,00:00:00,10,5.0,15.0,75.0,Yape,José,Mesa,97079649,,verano
V1120210116,2021-01-16,00:00:00,11,6.0,28.0,168.0,Tarjeta,José,Mesa,01028370,,verano
V1220210116,2021-01-16,00:00:00,12,2.0,18.0,36.0,Efectivo,Ana,Mesa,61346808,,verano
V120210117,2021-01-17,00:00:00,1,19.0,26.0,494.0,Efectivo,Ana,Delivery,44864481,,verano
V220210117,2021-01-17,00:00:00,2,25.0,32.0,800.0,Efectivo,Ana,Mesa,19454676,,verano
V320210117,2021-01-17,00:00:00,3,14.0,30.0,420.0,Yape,Luis,Delivery,91402376,,verano
V420210117,2021-01-17,00:00:00,4,19.0,24.0,456.0,Yape,Luis,Take-out,85664746,,verano
V520210117,2021-01-17,00:00:00,5,11.0,25.0,275.0,Yape,José,Mesa,85906188,,verano
V620210117,2021-01-17,00:00:00,6,6.0,24.0,144.0,Efectivo,Ana,Delivery,33255380,,verano
V720210117,2021-01-17,00:00:00,7,11.0,22.0,242.0,Tarjeta,José,Mesa,84146145,,verano
V820210117,2021-01-17,00:00:00,8,16.0,28.0,448.0,Efectivo,Ana,Take-out,96856438,,verano
V920210117,2021-01-17,00:00:00,9,10.0,18.0,180.0,Efectivo,José,Delivery,56467172,,verano
V1020210117,2021-01-17,00:00:00,10,7.0,15.0,105.0,Tarjeta,María,Take-out,92570117,,verano
V1120210117,2021-01-17,00:00:00,11,2.0,28.0,56.0,Yape,José,Mesa,21182813,,verano
V1220210117,2021-01-17,00:00:00,12,1.0,18.0,18.0,Tarjeta,Ana,Take-out,85746914,,verano
V120210118,2021-01-18,00:00:00,1,15.0,26.0,390.0,Yape,Ana,Take-out,98459157,,verano
V220210118,2021-01-18,00:00:00,2,19.0,32.0,608.0,Efectivo,Ana,Delivery,66384662,,verano
V320210118,2021-01-18,00:00:00,3,14.0,30.0,420.0,Tarjeta,María,Delivery,41477278,,verano
V420210118,2021-01-18,00:00:00,4,12.0,24.0,288.0,Yape,Luis,Mesa,27691791,,verano
V520210118,2021-01-18,00:00:00,5,8.0,25.0,200.0,Yape,María,Take-out,13456478,,verano
V620210118,2021-01-18,00:00:00,6,7.0,24.0,168.0,Tarjeta,José,Mesa,50161712,,verano
V720210118,2021-01-18,00:00:00,7,14.0,22.0,308.0,Tarjeta,Luis,Mesa,62708187,,verano
V820210118,2021-01-18,00:00:00,8,5.0,28.0,140.0,Efectivo,José,Mesa,57660347,,verano
V920210118,2021-01-18,00:00:00,9,9.0,18.0,162.0,Yape,María,Take-out,07288426,,verano
V1020210118,2021-01-18,00:00:00,10,5.0,15.0,75.0,Yape,María,Take-out,56792161,,verano
V1120210118,2021-01-18,00:00:00,11,3.0,28.0,84.0,Efectivo,Ana,Delivery,02218049,,verano
V1220210118,2021-01-18,00:00:00,12,2.0,18.0,36.0,Efectivo,Luis,Delivery,57683750,,verano
V120210119,2021-01-19,00:00:00,1,17.0,26.0,442.0,Yape,María,Take-out,21054502,,verano
V220210119,2021-01-19,00:00:00,2,25.0,32.0,800.0,Efectivo,María,Delivery,32759890,,verano
V320210119,2021-01-19,00:00:00,3,10.0,30.0,300.0,Yape,María,Delivery,26920837,,verano
V420210119,2021-01-19,00:00:00,4,10.0,24.0,240.0,Efectivo,José,Delivery,52983840,,verano
V520210119,2021-01-19,00:00:00,5,12.0,25.0,300.0,Yape,Luis,Delivery,59195006,,verano
V620210119,2021-01-19,00:00:00,6,14.0,24.0,336.0,Efectivo,José,Mesa,28874806,,verano
V720210119,2021-01-19,00:00:00,7,10.0,22.0,220.0,Efectivo,José,Take-out,30075522,,verano
V820210119,2021-01-19,00:00:00,8,3.0,28.0,84.0,Tarjeta,José,Take-out,43310707,,verano
V920210119,2021-01-19,00:00:00,9,5.0,18.0,90.0,Efectivo,Ana,Delivery,91730743,,verano
V1020210119,2021-01-19,00:00:00,10,6.0,15.0,90.0,Yape,Ana,Delivery,12778262,,verano
V1120210119,2021-01-19,00:00:00,11,3.0,28.0,84.0,Yape,María,Mesa,55105593,,verano
V1220210119,2021-01-19,00:00:00,12,1.0,18.0,18.0,Yape,María,Mesa,46512811,,verano
V120210120,2021-01-20,00:00:00,1,17.0,26.0,442.0,Yape,Ana,Take-out,45200743,,verano
V220210120,2021-01-20,00:00:00,2,19.0,32.0,608.0,Efectivo,Luis,Mesa,20143661,,verano
V320210120,2021-01-20,00:00:00,3,16.0,30.0,480.0,Yape,María,Delivery,91377623,,verano
V420210120,2021-01-20,00:00:00,4,18.0,24.0,432.0,Yape,María,Delivery,43351688,,verano
V520210120,2021-01-20,00:00:00,5,10.0,25.0,250.0,Efectivo,Luis,Delivery,76788685,,verano
V620210120,2021-01-20,00:00:00,6,9.0,24.0,216.0,Yape,Luis,Mesa,55947327,,verano
V720210120,2021-01-20,00:00:00,7,4.0,22.0,88.0,Yape,María,Mesa,45356886,,verano
V820210120,2021-01-20,00:00:00,8,6.0,28.0,168.0,Efectivo,Luis,Delivery,15581790,,verano
V920210120,2021-01-20,00:00:00,9,4.0,18.0,72.0,Tarjeta,Luis,Mesa,22657398,,verano
V1020210120,2021-01-20,00:00:00,10,5.0,15.0,75.0,Efectivo,María,Mesa,75882516,,verano
V1120210120,2021-01-20,00:00:00,11,4.0,28.0,112.0,Tarjeta,Ana,Take-out,29248378,,verano
V1220210120,2021-01-20,00:00:00,12,2.0,18.0,36.0,Efectivo,Luis,Delivery,10621371,,verano
V120210121,2021-01-21,00:00:00,1,12.0,26.0,312.0,Efectivo,José,Delivery,74421800,,verano
V220210121,2021-01-21,00:00:00,2,12.0,32.0,384.0,Yape,Luis,Mesa,60502195,,verano
V320210121,2021-01-21,00:00:00,3,20.0,30.0,600.0,Yape,Ana,Take-out,78926442,,verano
V420210121,2021-01-21,00:00:00,4,18.0,24.0,432.0,Tarjeta,Luis,Take-out,81627345,,verano
V520210121,2021-01-21,00:00:00,5,14.0,25.0,350.0,Efectivo,José,Delivery,10596861,,verano
V620210121,2021-01-21,00:00:00,6,7.0,24.0,168.0,Yape,Ana,Take-out,51416887,,verano
V720210121,2021-01-21,00:00:00,7,5.0,22.0,110.0,Yape,José,Take-out,48649473,,verano
V820210121,2021-01-21,00:00:00,8,9.0,28.0,252.0,Yape,Ana,Delivery,14282841,,verano
V920210121,2021-01-21,00:00:00,9,8.0,18.0,144.0,Yape,Ana,Take-out,55328414,,verano
V1020210121,2021-01-21,00:00:00,10,5.0,15.0,75.0,Yape,María,Delivery,84326747,,verano
V1120210121,2021-01-21,00:00:00,11,3.0,28.0,84.0,Tarjeta,Luis,Delivery,54957318,,verano
V1220210121,2021-01-21,00:00:00,12,6.0,18.0,108.0,Efectivo,Luis,Delivery,79157866,,verano
V120210122,2021-01-22,00:00:00,1,21.0,26.0,546.0,Efectivo,Luis,Delivery,90019402,,verano
V220210122,2021-01-22,00:00:00,2,19.0,32.0,608.0,Efectivo,Ana,Take-out,39657598,,verano
V320210122,2021-01-22,00:00:00,3,11.0,30.0,330.0,Yape,José,Delivery,08951756,,verano
V420210122,2021-01-22,00:00:00,4,12.0,24.0,288.0,Yape,Luis,Take-out,02019733,,verano
V520210122,2021-01-22,00:00:00,5,8.0,25.0,200.0,Yape,Luis,Take-out,07957553,,verano
V620210122,2021-01-22,00:00:00,6,12.0,24.0,288.0,Tarjeta,Luis,Take-out,94401555,,verano
V720210122,2021-01-22,00:00:00,7,12.0,22.0,264.0,Tarjeta,Ana,Take-out,98856957,,verano
V820210122,2021-01-22,00:00:00,8,5.0,28.0,140.0,Tarjeta,José,Take-out,45010696,,verano
V920210122,2021-01-22,00:00:00,9,3.0,18.0,54.0,Efectivo,María,Delivery,95082068,,verano
V1020210122,2021-01-22,00:00:00,10,3.0,15.0,45.0,Efectivo,Luis,Delivery,32517917,,verano
