Fecha,Hora,Producto/Plato vendido,Cantidad,Precio unitario,Precio total,Forma de pago,Responsable de la venta,"Mesa/Canal (salón, delivery, recojo)",Número de comprobante,Datos del cliente
2019-01-07,20:31,Lomo Saltado,45,25.0,1125.0,Efectivo,Cajero,salón,,
2019-01-07,11:55,Pollo a la Brasa,55,30.0,1650.0,Efectivo,Cajero,salón,,
2019-01-07,15:44,Ceviche Clásico,35,28.0,980.0,Efectivo,Cajero,salón,,
2019-01-07,14:15,Arroz Chaufa,28,22.0,616.0,Efectivo,Cajero,salón,,
2019-01-07,18:15,Tallarines Verdes,21,24.0,504.0,Efectivo,Cajero,salón,,
2019-01-08,17:24,Lomo Saltado,70,25.0,1750.0,Efectivo,Cajero,salón,,
2019-01-08,13:40,Pollo a la Brasa,58,30.0,1740.0,Efectivo,Cajero,salón,,
2019-01-08,11:48,Ceviche Clásico,48,28.0,1344.0,Efectivo,Cajero,salón,,
2019-01-08,14:47,Arroz Chaufa,25,22.0,550.0,Efectivo,Cajero,salón,,
2019-01-08,19:21,Tallarines Verdes,16,24.0,384.0,Efectivo,Cajero,salón,,
2019-01-09,13:44,Lomo Saltado,75,25.0,1875.0,Efectivo,Cajero,salón,,
2019-01-09,12:27,Pollo a la Brasa,64,30.0,1920.0,Efectivo,Cajero,salón,,
2019-01-09,20:19,Ceviche Clásico,44,28.0,1232.0,Efectivo,Cajero,salón,,
2019-01-09,18:40,Arroz Chaufa,35,22.0,770.0,Efectivo,Cajero,salón,,
2019-01-09,17:00,Tallarines Verdes,17,24.0,408.0,Efectivo,Cajero,salón,,
2019-01-10,17:55,Lomo Saltado,59,25.0,1475.0,Efectivo,Cajero,salón,,
2019-01-10,11:53,Pollo a la Brasa,78,30.0,2340.0,Efectivo,Cajero,salón,,
2019-01-10,11:17,Ceviche Clásico,55,28.0,1540.0,Efectivo,Cajero,salón,,
2019-01-10,11:10,Arroz Chaufa,34,22.0,748.0,Efectivo,Cajero,salón,,
2019-01-10,15:25,Tallarines Verdes,14,24.0,336.0,Efectivo,Cajero,salón,,
2019-01-11,15:33,Lomo Saltado,53,25.0,1325.0,Efectivo,Cajero,salón,,
2019-01-11,16:52,Pollo a la Brasa,38,30.0,1140.0,Efectivo,Cajero,salón,,
2019-01-11,12:12,Ceviche Clásico,28,28.0,784.0,Efectivo,Cajero,salón,,
2019-01-11,21:42,Arroz Chaufa,36,22.0,792.0,Efectivo,Cajero,salón,,
2019-01-11,21:50,Tallarines Verdes,16,24.0,384.0,Efectivo,Cajero,salón,,
2019-01-12,17:13,Lomo Saltado,58,25.0,1450.0,Efectivo,Cajero,salón,,
2019-01-12,18:01,Pollo a la Brasa,53,30.0,1590.0,Efectivo,Cajero,salón,,
2019-01-12,20:13,Ceviche Clásico,43,28.0,1204.0,Efectivo,Cajero,salón,,
2019-01-12,21:55,Arroz Chaufa,28,22.0,616.0,Efectivo,Cajero,salón,,
2019-01-12,13:06,Tallarines Verdes,20,24.0,480.0,Efectivo,Cajero,salón,,
2019-01-13,13:30,Lomo Saltado,67,25.0,1675.0,Efectivo,Cajero,salón,,
2019-01-13,18:36,Pollo a la Brasa,52,30.0,1560.0,Efectivo,Cajero,salón,,
2019-01-13,14:23,Ceviche Clásico,37,28.0,1036.0,Efectivo,Cajero,salón,,
2019-01-13,16:01,Arroz Chaufa,38,22.0,836.0,Efectivo,Cajero,salón,,
2019-01-13,14:27,Tallarines Verdes,17,24.0,408.0,Efectivo,Cajero,salón,,
2019-01-14,15:55,Lomo Saltado,59,25.0,1475.0,Efectivo,Cajero,salón,,
2019-01-14,21:08,Pollo a la Brasa,57,30.0,1710.0,Efectivo,Cajero,salón,,
2019-01-14,12:11,Ceviche Clásico,29,28.0,812.0,Efectivo,Cajero,salón,,
2019-01-14,13:34,Arroz Chaufa,34,22.0,748.0,Efectivo,Cajero,salón,,
2019-01-14,11:39,Tallarines Verdes,21,24.0,504.0,Efectivo,Cajero,salón,,
2019-01-15,14:21,Lomo Saltado,38,25.0,950.0,Efectivo,Cajero,salón,,
2019-01-15,12:09,Pollo a la Brasa,38,30.0,1140.0,Efectivo,Cajero,salón,,
2019-01-15,15:58,Ceviche Clásico,26,28.0,728.0,Efectivo,Cajero,salón,,
2019-01-15,20:32,Arroz Chaufa,21,22.0,462.0,Efectivo,Cajero,salón,,
2019-01-15,16:37,Tallarines Verdes,18,24.0,432.0,Efectivo,Cajero,salón,,
2019-01-16,15:20,Lomo Saltado,71,25.0,1775.0,Efectivo,Cajero,salón,,
2019-01-16,20:45,Pollo a la Brasa,51,30.0,1530.0,Efectivo,Cajero,salón,,
2019-01-16,14:53,Ceviche Clásico,31,28.0,868.0,Efectivo,Cajero,salón,,
2019-01-16,17:56,Arroz Chaufa,38,22.0,836.0,Efectivo,Cajero,salón,,
2019-01-16,11:53,Tallarines Verdes,19,24.0,456.0,Efectivo,Cajero,salón,,
2019-01-17,11:13,Lomo Saltado,76,25.0,1900.0,Efectivo,Cajero,salón,,
2019-01-17,13:46,Pollo a la Brasa,65,30.0,1950.0,Efectivo,Cajero,salón,,
2019-01-17,12:01,Ceviche Clásico,44,28.0,1232.0,Efectivo,Cajero,salón,,
2019-01-17,16:27,Arroz Chaufa,32,22.0,704.0,Efectivo,Cajero,salón,,
2019-01-17,11:49,Tallarines Verdes,23,24.0,552.0,Efectivo,Cajero,salón,,
2019-01-18,17:54,Lomo Saltado,52,25.0,1300.0,Efectivo,Cajero,salón,,
2019-01-18,14:04,Pollo a la Brasa,42,30.0,1260.0,Efectivo,Cajero,salón,,
2019-01-18,15:37,Ceviche Clásico,39,28.0,1092.0,Efectivo,Cajero,salón,,
2019-01-18,19:33,Arroz Chaufa,25,22.0,550.0,Efectivo,Cajero,salón,,
2019-01-18,15:43,Tallarines Verdes,15,24.0,360.0,Efectivo,Cajero,salón,,
2019-01-19,21:00,Lomo Saltado,73,25.0,1825.0,Efectivo,Cajero,salón,,
2019-01-19,13:52,Pollo a la Brasa,75,30.0,2250.0,Efectivo,Cajero,salón,,
2019-01-19,14:50,Ceviche Clásico,47,28.0,1316.0,Efectivo,Cajero,salón,,
2019-01-19,20:28,Arroz Chaufa,49,22.0,1078.0,Efectivo,Cajero,salón,,
2019-01-19,15:10,Tallarines Verdes,26,24.0,624.0,Efectivo,Cajero,salón,,
2019-01-20,15:16,Lomo Saltado,60,25.0,1500.0,Efectivo,Cajero,salón,,
2019-01-20,17:36,Pollo a la Brasa,34,30.0,1020.0,Efectivo,Cajero,salón,,
2019-01-20,16:15,Ceviche Clásico,33,28.0,924.0,Efectivo,Cajero,salón,,
2019-01-20,16:07,Arroz Chaufa,18,22.0,396.0,Efectivo,Cajero,salón,,
2019-01-20,19:17,Tallarines Verdes,14,24.0,336.0,Efectivo,Cajero,salón,,
2019-01-21,13:58,Lomo Saltado,67,25.0,1675.0,Efectivo,Cajero,salón,,
2019-01-21,17:45,Pollo a la Brasa,53,30.0,1590.0,Efectivo,Cajero,salón,,
2019-01-21,14:28,Ceviche Clásico,45,28.0,1260.0,Efectivo,Cajero,salón,,
2019-01-21,11:28,Arroz Chaufa,45,22.0,990.0,Efectivo,Cajero,salón,,
2019-01-21,15:43,Tallarines Verdes,30,24.0,720.0,Efectivo,Cajero,salón,,
2019-01-22,14:57,Lomo Saltado,23,25.0,575.0,Efectivo,Cajero,salón,,
2019-01-22,11:58,Pollo a la Brasa,30,30.0,900.0,Efectivo,Cajero,salón,,
2019-01-22,20:34,Ceviche Clásico,19,28.0,532.0,Efectivo,Cajero,salón,,
2019-01-22,12:17,Arroz Chaufa,18,22.0,396.0,Efectivo,Cajero,salón,,
2019-01-22,11:23,Tallarines Verdes,12,24.0,288.0,Efectivo,Cajero,salón,,
2019-01-23,19:52,Lomo Saltado,51,25.0,1275.0,Efectivo,Cajero,salón,,
2019-01-23,20:35,Pollo a la Brasa,38,30.0,1140.0,Efectivo,Cajero,salón,,
2019-01-23,21:37,Ceviche Clásico,26,28.0,728.0,Efectivo,Cajero,salón,,
2019-01-23,17:04,Arroz Chaufa,27,22.0,594.0,Efectivo,Cajero,salón,,
2019-01-23,21:44,Tallarines Verdes,24,24.0,576.0,Efectivo,Cajero,salón,,
2019-01-24,14:58,Lomo Saltado,32,25.0,800.0,Efectivo,Cajero,salón,,
2019-01-24,13:51,Pollo a la Brasa,29,30.0,870.0,Efectivo,Cajero,salón,,
2019-01-24,17:28,Ceviche Clásico,39,28.0,1092.0,Efectivo,Cajero,salón,,
2019-01-24,21:32,Arroz Chaufa,15,22.0,330.0,Efectivo,Cajero,salón,,
2019-01-24,16:46,Tallarines Verdes,12,24.0,288.0,Efectivo,Cajero,salón,,
2019-01-25,18:59,Lomo Saltado,57,25.0,1425.0,Efectivo,Cajero,salón,,
2019-01-25,20:02,Pollo a la Brasa,47,30.0,1410.0,Efectivo,Cajero,salón,,
2019-01-25,14:45,Ceviche Clásico,31,28.0,868.0,Efectivo,Cajero,salón,,
2019-01-25,19:29,Arroz Chaufa,34,22.0,748.0,Efectivo,Cajero,salón,,
2019-01-25,17:16,Tallarines Verdes,19,24.0,456.0,Efectivo,Cajero,salón,,
2019-01-26,20:54,Lomo Saltado,63,25.0,1575.0,Efectivo,Cajero,salón,,
2019-01-26,11:39,Pollo a la Brasa,40,30.0,1200.0,Efectivo,Cajero,salón,,
2019-01-26,21:02,Ceviche Clásico,34,28.0,952.0,Efectivo,Cajero,salón,,
2019-01-26,21:05,Arroz Chaufa,23,22.0,506.0,Efectivo,Cajero,salón,,
2019-01-26,19:05,Tallarines Verdes,21,24.0,504.0,Efectivo,Cajero,salón,,
2019-01-27,18:19,Lomo Saltado,51,25.0,1275.0,Efectivo,Cajero,salón,,
2019-01-27,15:03,Pollo a la Brasa,38,30.0,1140.0,Efectivo,Cajero,salón,,
2019-01-27,14:59,Ceviche Clásico,31,28.0,868.0,Efectivo,Cajero,salón,,
2019-01-27,18:49,Arroz Chaufa,29,22.0,638.0,Efectivo,Cajero,salón,,
2019-01-27,11:50,Tallarines Verdes,18,24.0,432.0,Efectivo,Cajero,salón,,
2019-01-28,21:09,Lomo Saltado,38,25.0,950.0,Efectivo,Cajero,salón,,
2019-01-28,13:53,Pollo a la Brasa,33,30.0,990.0,Efectivo,Cajero,salón,,
2019-01-28,20:28,Ceviche Clásico,21,28.0,588.0,Efectivo,Cajero,salón,,
2019-01-28,20:11,Arroz Chaufa,16,22.0,352.0,Efectivo,Cajero,salón,,
2019-01-28,19:00,Tallarines Verdes,19,24.0,456.0,Efectivo,Cajero,salón,,
2019-01-29,17:44,Lomo Saltado,40,25.0,1000.0,Efectivo,Cajero,salón,,
2019-01-29,14:15,Pollo a la Brasa,37,30.0,1110.0,Efectivo,Cajero,salón,,
2019-01-29,12:41,Ceviche Clásico,27,28.0,756.0,Efectivo,Cajero,salón,,
2019-01-29,17:07,Arroz Chaufa,23,22.0,506.0,Efectivo,Cajero,salón,,
2019-01-29,12:20,Tallarines Verdes,15,24.0,360.0,Efectivo,Cajero,salón,,
2019-01-30,17:14,Lomo Saltado,70,25.0,1750.0,Efectivo,Cajero,salón,,
2019-01-30,15:18,Pollo a la Brasa,54,30.0,1620.0,Efectivo,Cajero,salón,,
2019-01-30,19:32,Ceviche Clásico,45,28.0,1260.0,Efectivo,Cajero,salón,,
2019-01-30,11:31,Arroz Chaufa,39,22.0,858.0,Efectivo,Cajero,salón,,
2019-01-30,11:34,Tallarines Verdes,23,24.0,552.0,Efectivo,Cajero,salón,,
2019-01-31,21:06,Lomo Saltado,52,25.0,1300.0,Efectivo,Cajero,salón,,
2019-01-31,20:38,Pollo a la Brasa,35,30.0,1050.0,Efectivo,Cajero,salón,,
2019-01-31,17:55,Ceviche Clásico,30,28.0,840.0,Efectivo,Cajero,salón,,
2019-01-31,11:41,Arroz Chaufa,11,22.0,242.0,Efectivo,Cajero,salón,,
2019-01-31,20:55,Tallarines Verdes,10,24.0,240.0,Efectivo,Cajero,salón,,
2019-02-01,13:06,Lomo Saltado,38,25.0,950.0,Efectivo,Cajero,salón,,
2019-02-01,15:17,Pollo a la Brasa,38,30.0,1140.0,Efectivo,Cajero,salón,,
2019-02-01,13:41,Ceviche Clásico,27,28.0,756.0,Efectivo,Cajero,salón,,
2019-02-01,16:38,Arroz Chaufa,13,22.0,286.0,Efectivo,Cajero,salón,,
2019-02-01,19:48,Tallarines Verdes,20,24.0,480.0,Efectivo,Cajero,salón,,
2019-02-02,13:15,Lomo Saltado,71,25.0,1775.0,Efectivo,Cajero,salón,,
2019-02-02,17:27,Pollo a la Brasa,62,30.0,1860.0,Efectivo,Cajero,salón,,
2019-02-02,13:39,Ceviche Clásico,45,28.0,1260.0,Efectivo,Cajero,salón,,
2019-02-02,16:04,Arroz Chaufa,30,22.0,660.0,Efectivo,Cajero,salón,,
2019-02-02,14:39,Tallarines Verdes,34,24.0,816.0,Efectivo,Cajero,salón,,
2019-02-03,14:17,Lomo Saltado,88,25.0,2200.0,Efectivo,Cajero,salón,,
2019-02-03,20:24,Pollo a la Brasa,80,30.0,2400.0,Efectivo,Cajero,salón,,
2019-02-03,12:24,Ceviche Clásico,54,28.0,1512.0,Efectivo,Cajero,salón,,
2019-02-03,16:32,Arroz Chaufa,45,22.0,990.0,Efectivo,Cajero,salón,,
2019-02-03,14:30,Tallarines Verdes,24,24.0,576.0,Efectivo,Cajero,salón,,
2019-02-04,16:04,Lomo Saltado,43,25.0,1075.0,Efectivo,Cajero,salón,,
2019-02-04,17:01,Pollo a la Brasa,30,30.0,900.0,Efectivo,Cajero,salón,,
2019-02-04,21:20,Ceviche Clásico,32,28.0,896.0,Efectivo,Cajero,salón,,
2019-02-04,16:37,Arroz Chaufa,31,22.0,682.0,Efectivo,Cajero,salón,,
2019-02-04,15:09,Tallarines Verdes,15,24.0,360.0,Efectivo,Cajero,salón,,
2019-02-05,11:22,Lomo Saltado,74,25.0,1850.0,Efectivo,Cajero,salón,,
2019-02-05,15:07,Pollo a la Brasa,48,30.0,1440.0,Efectivo,Cajero,salón,,
2019-02-05,18:56,Ceviche Clásico,37,28.0,1036.0,Efectivo,Cajero,salón,,
2019-02-05,17:42,Arroz Chaufa,31,22.0,682.0,Efectivo,Cajero,salón,,
2019-02-05,11:44,Tallarines Verdes,25,24.0,600.0,Efectivo,Cajero,salón,,
2019-02-06,11:55,Lomo Saltado,82,25.0,2050.0,Efectivo,Cajero,salón,,
2019-02-06,15:34,Pollo a la Brasa,72,30.0,2160.0,Efectivo,Cajero,salón,,
2019-02-06,20:31,Ceviche Clásico,55,28.0,1540.0,Efectivo,Cajero,salón,,
2019-02-06,17:38,Arroz Chaufa,39,22.0,858.0,Efectivo,Cajero,salón,,
2019-02-06,11:11,Tallarines Verdes,21,24.0,504.0,Efectivo,Cajero,salón,,
2019-02-07,19:51,Lomo Saltado,66,25.0,1650.0,Efectivo,Cajero,salón,,
2019-02-07,14:21,Pollo a la Brasa,66,30.0,1980.0,Efectivo,Cajero,salón,,
2019-02-07,20:25,Ceviche Clásico,43,28.0,1204.0,Efectivo,Cajero,salón,,
2019-02-07,20:53,Arroz Chaufa,35,22.0,770.0,Efectivo,Cajero,salón,,
2019-02-07,11:13,Tallarines Verdes,21,24.0,504.0,Efectivo,Cajero,salón,,
2019-02-08,20:37,Lomo Saltado,51,25.0,1275.0,Efectivo,Cajero,salón,,
2019-02-08,15:30,Pollo a la Brasa,47,30.0,1410.0,Efectivo,Cajero,salón,,
2019-02-08,14:18,Ceviche Clásico,35,28.0,980.0,Efectivo,Cajero,salón,,
2019-02-08,14:29,Arroz Chaufa,27,22.0,594.0,Efectivo,Cajero,salón,,
2019-02-08,17:48,Tallarines Verdes,21,24.0,504.0,Efectivo,Cajero,salón,,
2019-02-09,19:30,Lomo Saltado,78,25.0,1950.0,Efectivo,Cajero,salón,,
2019-02-09,14:23,Pollo a la Brasa,48,30.0,1440.0,Efectivo,Cajero,salón,,
2019-02-09,19:35,Ceviche Clásico,46,28.0,1288.0,Efectivo,Cajero,salón,,
2019-02-09,15:29,Arroz Chaufa,31,22.0,682.0,Efectivo,Cajero,salón,,
2019-02-09,18:43,Tallarines Verdes,13,24.0,312.0,Efectivo,Cajero,salón,,
2019-02-10,20:42,Lomo Saltado,91,25.0,2275.0,Efectivo,Cajero,salón,,
2019-02-10,19:38,Pollo a la Brasa,83,30.0,2490.0,Efectivo,Cajero,salón,,
2019-02-10,16:48,Ceviche Clásico,48,28.0,1344.0,Efectivo,Cajero,salón,,
2019-02-10,11:33,Arroz Chaufa,40,22.0,880.0,Efectivo,Cajero,salón,,
2019-02-10,16:45,Tallarines Verdes,35,24.0,840.0,Efectivo,Cajero,salón,,
2019-02-11,21:55,Lomo Saltado,35,25.0,875.0,Efectivo,Cajero,salón,,
2019-02-11,20:07,Pollo a la Brasa,24,30.0,720.0,Efectivo,Cajero,salón,,
2019-02-11,18:59,Ceviche Clásico,16,28.0,448.0,Efectivo,Cajero,salón,,
2019-02-11,19:35,Arroz Chaufa,18,22.0,396.0,Efectivo,Cajero,salón,,
2019-02-11,15:20,Tallarines Verdes,12,24.0,288.0,Efectivo,Cajero,salón,,
2019-02-12,19:20,Lomo Saltado,68,25.0,1700.0,Efectivo,Cajero,salón,,
2019-02-12,18:33,Pollo a la Brasa,68,30.0,2040.0,Efectivo,Cajero,salón,,
2019-02-12,16:02,Ceviche Clásico,52,28.0,1456.0,Efectivo,Cajero,salón,,
2019-02-12,20:47,Arroz Chaufa,33,22.0,726.0,Efectivo,Cajero,salón,,
2019-02-12,15:27,Tallarines Verdes,28,24.0,672.0,Efectivo,Cajero,salón,,
2019-02-13,18:34,Lomo Saltado,71,25.0,1775.0,Efectivo,Cajero,salón,,
2019-02-13,13:29,Pollo a la Brasa,56,30.0,1680.0,Efectivo,Cajero,salón,,
2019-02-13,21:19,Ceviche Clásico,57,28.0,1596.0,Efectivo,Cajero,salón,,
2019-02-13,11:24,Arroz Chaufa,32,22.0,704.0,Efectivo,Cajero,salón,,
2019-02-13,18:23,Tallarines Verdes,28,24.0,672.0,Efectivo,Cajero,salón,,
2019-02-14,15:04,Lomo Saltado,36,25.0,900.0,Efectivo,Cajero,salón,,
2019-02-14,14:36,Pollo a la Brasa,28,30.0,840.0,Efectivo,Cajero,salón,,
2019-02-14,13:43,Ceviche Clásico,38,28.0,1064.0,Efectivo,Cajero,salón,,
2019-02-14,11:52,Arroz Chaufa,12,22.0,264.0,Efectivo,Cajero,salón,,
2019-02-14,19:08,Tallarines Verdes,12,24.0,288.0,Efectivo,Cajero,salón,,
2019-02-15,16:48,Lomo Saltado,70,25.0,1750.0,Efectivo,Cajero,salón,,
2019-02-15,11:07,Pollo a la Brasa,64,30.0,1920.0,Efectivo,Cajero,salón,,
2019-02-15,21:19,Ceviche Clásico,37,28.0,1036.0,Efectivo,Cajero,salón,,
2019-02-15,11:25,Arroz Chaufa,38,22.0,836.0,Efectivo,Cajero,salón,,
2019-02-15,17:20,Tallarines Verdes,26,24.0,624.0,Efectivo,Cajero,salón,,
2019-02-16,17:27,Lomo Saltado,82,25.0,2050.0,Efectivo,Cajero,salón,,
2019-02-16,13:19,Pollo a la Brasa,89,30.0,2670.0,Efectivo,Cajero,salón,,
2019-02-16,16:26,Ceviche Clásico,76,28.0,2128.0,Efectivo,Cajero,salón,,
2019-02-16,15:01,Arroz Chaufa,53,22.0,1166.0,Efectivo,Cajero,salón,,
2019-02-16,16:02,Tallarines Verdes,38,24.0,912.0,Efectivo,Cajero,salón,,
2019-02-17,12:47,Lomo Saltado,42,25.0,1050.0,Efectivo,Cajero,salón,,
2019-02-17,14:55,Pollo a la Brasa,41,30.0,1230.0,Efectivo,Cajero,salón,,
2019-02-17,16:00,Ceviche Clásico,36,28.0,1008.0,Efectivo,Cajero,salón,,
2019-02-17,14:48,Arroz Chaufa,25,22.0,550.0,Efectivo,Cajero,salón,,
2019-02-17,12:04,Tallarines Verdes,18,24.0,432.0,Efectivo,Cajero,salón,,
2019-02-18,14:50,Lomo Saltado,76,25.0,1900.0,Efectivo,Cajero,salón,,
2019-02-18,11:27,Pollo a la Brasa,51,30.0,1530.0,Efectivo,Cajero,salón,,
2019-02-18,18:34,Ceviche Clásico,43,28.0,1204.0,Efectivo,Cajero,salón,,
2019-02-18,12:10,Arroz Chaufa,28,22.0,616.0,Efectivo,Cajero,salón,,
2019-02-18,14:50,Tallarines Verdes,24,24.0,576.0,Efectivo,Cajero,salón,,
2019-02-19,15:12,Lomo Saltado,58,25.0,1450.0,Efectivo,Cajero,salón,,
2019-02-19,17:15,Pollo a la Brasa,45,30.0,1350.0,Efectivo,Cajero,salón,,
2019-02-19,12:31,Ceviche Clásico,37,28.0,1036.0,Efectivo,Cajero,salón,,
2019-02-19,16:28,Arroz Chaufa,27,22.0,594.0,Efectivo,Cajero,salón,,
2019-02-19,16:42,Tallarines Verdes,14,24.0,336.0,Efectivo,Cajero,salón,,
2019-02-20,11:54,Lomo Saltado,34,25.0,850.0,Efectivo,Cajero,salón,,
2019-02-20,12:41,Pollo a la Brasa,19,30.0,570.0,Efectivo,Cajero,salón,,
2019-02-20,16:59,Ceviche Clásico,26,28.0,728.0,Efectivo,Cajero,salón,,
2019-02-20,12:01,Arroz Chaufa,13,22.0,286.0,Efectivo,Cajero,salón,,
2019-02-20,20:12,Tallarines Verdes,10,24.0,240.0,Efectivo,Cajero,salón,,
2019-02-21,21:40,Lomo Saltado,37,25.0,925.0,Efectivo,Cajero,salón,,
2019-02-21,11:14,Pollo a la Brasa,26,30.0,780.0,Efectivo,Cajero,salón,,
2019-02-21,19:30,Ceviche Clásico,20,28.0,560.0,Efectivo,Cajero,salón,,
2019-02-21,11:57,Arroz Chaufa,19,22.0,418.0,Efectivo,Cajero,salón,,
2019-02-21,20:17,Tallarines Verdes,15,24.0,360.0,Efectivo,Cajero,salón,,
2019-02-22,19:34,Lomo Saltado,46,25.0,1150.0,Efectivo,Cajero,salón,,
2019-02-22,12:13,Pollo a la Brasa,30,30.0,900.0,Efectivo,Cajero,salón,,
2019-02-22,13:43,Ceviche Clásico,33,28.0,924.0,Efectivo,Cajero,salón,,
2019-02-22,19:59,Arroz Chaufa,16,22.0,352.0,Efectivo,Cajero,salón,,
2019-02-22,17:40,Tallarines Verdes,11,24.0,264.0,Efectivo,Cajero,salón,,
2019-02-23,16:51,Lomo Saltado,83,25.0,2075.0,Efectivo,Cajero,salón,,
2019-02-23,18:28,Pollo a la Brasa,58,30.0,1740.0,Efectivo,Cajero,salón,,
2019-02-23,21:24,Ceviche Clásico,43,28.0,1204.0,Efectivo,Cajero,salón,,
2019-02-23,14:57,Arroz Chaufa,40,22.0,880.0,Efectivo,Cajero,salón,,
2019-02-23,20:37,Tallarines Verdes,27,24.0,648.0,Efectivo,Cajero,salón,,
2019-02-24,20:56,Lomo Saltado,51,25.0,1275.0,Efectivo,Cajero,salón,,
2019-02-24,20:24,Pollo a la Brasa,31,30.0,930.0,Efectivo,Cajero,salón,,
2019-02-24,20:58,Ceviche Clásico,23,28.0,644.0,Efectivo,Cajero,salón,,
2019-02-24,13:10,Arroz Chaufa,24,22.0,528.0,Efectivo,Cajero,salón,,
2019-02-24,15:07,Tallarines Verdes,12,24.0,288.0,Efectivo,Cajero,salón,,
2019-02-25,17:37,Lomo Saltado,52,25.0,1300.0,Efectivo,Cajero,salón,,
2019-02-25,16:17,Pollo a la Brasa,45,30.0,1350.0,Efectivo,Cajero,salón,,
2019-02-25,20:05,Ceviche Clásico,43,28.0,1204.0,Efectivo,Cajero,salón,,
2019-02-25,14:43,Arroz Chaufa,30,22.0,660.0,Efectivo,Cajero,salón,,
2019-02-25,13:28,Tallarines Verdes,21,24.0,504.0,Efectivo,Cajero,salón,,
2019-02-26,17:26,Lomo Saltado,31,25.0,775.0,Efectivo,Cajero,salón,,
2019-02-26,20:13,Pollo a la Brasa,33,30.0,990.0,Efectivo,Cajero,salón,,
2019-02-26,11:17,Ceviche Clásico,17,28.0,476.0,Efectivo,Cajero,salón,,
2019-02-26,14:28,Arroz Chaufa,27,22.0,594.0,Efectivo,Cajero,salón,,
2019-02-26,14:52,Tallarines Verdes,10,24.0,240.0,Efectivo,Cajero,salón,,
2019-02-27,18:26,Lomo Saltado,73,25.0,1825.0,Efectivo,Cajero,salón,,
2019-02-27,18:35,Pollo a la Brasa,67,30.0,2010.0,Efectivo,Cajero,salón,,
2019-02-27,12:28,Ceviche Clásico,56,28.0,1568.0,Efectivo,Cajero,salón,,
2019-02-27,18:23,Arroz Chaufa,45,22.0,990.0,Efectivo,Cajero,salón,,
2019-02-27,20:03,Tallarines Verdes,29,24.0,696.0,Efectivo,Cajero,salón,,
2019-02-28,21:33,Lomo Saltado,29,25.0,725.0,Efectivo,Cajero,salón,,
